relative_path,document_title,document_date,received_date,author,reviewer,mienviro_document_id,site_profile_id,wds_number,direct_download_url,parent_event,related_citation_or_inspection,bytes,sha256,notes
"originals/2016_Rule_2210y/Fig 6 - South Topo.pdf v1","Fig 6 - South Topo.pdf v1","2016-03-16","","","","-2579877415507872432","7701297007408187192","470336","https://mienviro.michigan.gov/ncore/DownloadPdf/-2579877415507872432","Application 2E2-C5H5-QVVF","Rule 2210(y) application attachment; Citation 432 follow-up","108134","34358F131B59BC2025F0E3B62EA9F6CC3C2205D13D95D9AF46CDED038DE5599F","Applicant attachment."
"originals/2016_Rule_2210y/Flow Rate - Days.pdf v1","Flow Rate - Days.pdf v1","2016-03-16","","","","-1024976884723014956","7701297007408187192","470336","https://mienviro.michigan.gov/ncore/DownloadPdf/-1024976884723014956","Application 2E2-C5H5-QVVF","Rule 2210(y) application attachment; Citation 432 follow-up","17870","DFAE42863627F0273E4C61AFB38F189A6A36B211B21ED161D42CDB5234BB57C9","Applicant attachment."
"originals/2016_Rule_2210y/GW Public Notice Document.html","GW Public Notice Document.html","2016-07-12","","","","1933960216450450685","7701297007408187192","470336","https://mienviro.michigan.gov/ncore/DownloadPdf/1933960216450450685","GW1010342 Rule 2210(y) Authorization","Follow-up to 2016 leachate discharge request / Citation 432","22381","A611A75485CF4E7814CCF6417E1430DC35C4584F6685A7297F818E4DE39F6427","Original HTML, not converted."
"originals/2016_Rule_2210y/lagoon summary.pdf v1","lagoon summary.pdf v1","2016-03-16","","","","-3742461403192295520","7701297007408187192","470336","https://mienviro.michigan.gov/ncore/DownloadPdf/-3742461403192295520","Application 2E2-C5H5-QVVF","Rule 2210(y) application attachment; Citation 432 follow-up","811604","FF3227A6E962F1A048076F5A9ED5C8B26C8814C94CFB6AE05FFD4410073251B5","Same bytes as MiEnviro document ID 1093182208806986046."
"originals/2016_Rule_2210y/lagoon summary.pdf v1","lagoon summary.pdf v1","2016-03-16","","","","1093182208806986046","7701297007408187192","470336","https://mienviro.michigan.gov/ncore/DownloadPdf/1093182208806986046","Application 2E2-C5H5-QVVF","Rule 2210(y) application attachment; Citation 432 follow-up","811604","FF3227A6E962F1A048076F5A9ED5C8B26C8814C94CFB6AE05FFD4410073251B5","Confirmed byte-for-byte duplicate; one preserved original represents both IDs."
"originals/2016_Rule_2210y/PN certification form-Wexford Landfill.pdf","PN certification form-Wexford Landfill.pdf","2016-07-12","","","","2256854210489464197","7701297007408187192","470336","https://mienviro.michigan.gov/ncore/DownloadPdf/2256854210489464197","GW1010342 Rule 2210(y) Authorization","Follow-up to 2016 leachate discharge request / Citation 432","7672","34BBE60FDBC281B587994D36C27C70BE1EC7C63F21A14A505019C2541600E5F4","Original MiEnviro file."
"originals/2016_Rule_2210y/public notice email-Wexford Landfill.pdf","public notice email-Wexford Landfill.pdf","2016-07-12","","","","-6606352708966805341","7701297007408187192","470336","https://mienviro.michigan.gov/ncore/DownloadPdf/-6606352708966805341","GW1010342 Rule 2210(y) Authorization","Follow-up to 2016 leachate discharge request / Citation 432","79078","46619080FC733362CE28D8563112105EF5679B241D9276659B66CA98745F8DCE","Original MiEnviro file."
"originals/2016_Rule_2210y/Rule 2210 Permit Template draft-Wexford Landfill.pdf","Rule 2210 Permit Template draft-Wexford Landfill.pdf","2016-07-12","","","","-247260436681603705","7701297007408187192","470336","https://mienviro.michigan.gov/ncore/DownloadPdf/-247260436681603705","GW1010342 Rule 2210(y) Authorization","Follow-up to 2016 leachate discharge request / Citation 432","1910540","A6E913AB7006112701A1A7760BD6D9180C413D95CB820DF43540329F125AEE73","Original MiEnviro file."
"originals/2016_Rule_2210y/Rule 2210 Permit Template-Wexford Landfill.docx","Rule 2210 Permit Template-Wexford Landfill.docx","2016-09-16","","","","1536283218285486699","7701297007408187192","470336","https://mienviro.michigan.gov/ncore/DownloadPdf/1536283218285486699","GW1010342 Rule 2210(y) Authorization","Follow-up to 2016 leachate discharge request / Citation 432","2837072","38C4DD289771AB2109AF0CF4A8AC198C69E58432D076683732BA20C68A9618BE","Original DOCX, not converted."
"originals/2016_Rule_2210y/Wexford Landfill Groundwater Discharge Permit Application 2210(y).docx","Wexford Landfill Groundwater Discharge Permit Application 2210(y).docx","2016-06-01","","","","8483964851346980810","7701297007408187192","470336","https://mienviro.michigan.gov/ncore/DownloadPdf/8483964851346980810","Application 2E2-C5H5-QVVF","Rule 2210(y) application; Citation 432 follow-up","104769","7EE1B2C9396C51FAA97A932B9756B0A42D0FB85CF4AD0E52D204F6CEFD242DC5","Original DOCX, not converted."
"originals/supporting_official/Construction_Permit_4127/Wexford-County-Landfill.pdf","Wexford County Landfill Construction Permit 4127","2012-08-20","2012-04-20","Michigan DEQ Resource Management Division","","","MIK363495375","470336","https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/MMD/Solid-Waste/Solid-Waste-Permits/Wexford-County-Landfill.pdf?hash=BC9409405D41B152988636A5FBC02B3A&rev=29bcead0483c4513a3af5560d46611f5","Construction Permit 4127","Incorporates 2012 application and HMP by reference","255586","A2B89F4B2389A8A3681C0A571AD711063734093892D0876BCA0B8B3C2063FD43","Official EGLE original."
"originals/supporting_official/Operating_License_9758/Wexford-County-Landfill.PDF","Wexford County Landfill Operating License 9758","2024-11-19","2024-08-19","Michigan EGLE Materials Management Division","","","MIK363495375","470336","https://www.michigan.gov/-/media/Project/Websites/egle/Documents/Programs/MMD/Licenses/MMD/Solid-Waste/Wexford-County-Landfill.PDF?rev=ce152ff9f27745d8992546409f3343c4","Operating License 9758","Confirms March 2018 HMP, Cell H/G-3 plans, RAP and leak-detection conditions","3588035","4B475079A927CB48147206BB617C64ADDAF8215F55534601F1674EACB8FB359E","Official EGLE original; supporting source, not the missing incorporated plans."
