Entity or alternate name,Exact legal name,Entity type,DBA or assumed name,Former name,"Parent, subsidiary, or affiliate",Relationship to the landfill,"Owner, member, manager, officer, or registered agent",Associated address,Associated parcel,Facility or site ID,Permit or license number,First date found,Last date found,Supporting document,Supporting page number,Official source URL,Evidence supporting the relationship,Confidence level,Notes
GFL Environmental,GFL Environmental Inc.,Public-facing brand / Canadian corporation,GFL; Green For Life,,Ultimate parent of the post-2020 corporate group,Current operator/owner described in County and EGLE records,"Patrick Dovigi - founder, CEO/president in SEC filings; Eva Mazzaferro - VP Treasury and Shared Services","100 New Park Place #500, Vaughan, Ontario L4K 0H9; Michigan regional mailing address 3947 N US 131, Kalkaska",Same landfill site through subsidiary,WDS 470336; Air SRN N3862,MI-ROP-N3862-2022 (facility),2020-02-01,2026-06-04,GFL SEC filing; County PFAS agenda; EGLE air inspection,SEC filing; County PDF p.13; inspection PDF p.1,https://www.sec.gov/Archives/edgar/data/1780232/000104746920000673/a2240427zf-1a.htm,"GFL states it purchased all outstanding stock of American Waste, Inc. and its subsidiaries effective 2020-02-01. County and EGLE records call GFL the current owner/operator.",High,Use the LLC as the legal facility owner; GFL is the parent/operating brand.
"GFL Environmental Holdings, Inc.","GFL Environmental Holdings, Inc.",U.S. holding company / acquiring party,,,GFL Environmental Inc. group,"Acquiring party in FTC notices for Wexford County Landfill, LLC and related entities",,,,,FTC HSR transaction 20200445 and 20200446,2020-01-02,2020-01-02,Federal Trade Commission early-termination notices,Web records,https://www.ftc.gov/legal-library/browse/early-termination-notices/20200445,"FTC identifies it as acquiring party and lists Wexford County Landfill, LLC, Wexford Water Technologies, LLC, American Waste, Inc., and American Waste Arrow, Inc. as acquired entities.",High,"FTC page uses this exact name; SEC materials also use GFL Environmental Holdings (US), Inc. in the U.S. chain."
"GFL Environmental Holdings (US), Inc.","GFL Environmental Holdings (US), Inc.",Delaware corporation / holding company,,,Subsidiary of GFL Environmental Inc.; parent-chain affiliate,"Parent-chain entity shown with GFL Holdco (US), LLC and American Waste in a 100%-owned organization chart",,"26999 Central Park Blvd, Suite 200, Southfield, MI 48076 (authorized-agent address in SEC filing)",,,,2020-09-14,2026-01-16,Government-filed GFL organization chart; SEC indenture,Org chart page; SEC filing,https://www.sec.gov/Archives/edgar/data/1780232/000110465926004538/tm262275d5_ex4-1.htm,Government-filed corporate materials place this entity in GFL's U.S. ownership structure; SEC documents use it as a GFL U.S. issuer/agent entity.,Medium-High,Exact intermediate ownership should be confirmed against current Michigan corporate records and the complete organization chart.
"GFL Holdco (US), LLC","GFL Holdco (US), LLC",Delaware limited liability company / holding company,,,GFL U.S. parent-chain affiliate,Intermediate holding entity shown above American Waste in government-filed organization chart,,,,,,2020-09-14,2026-01-16,Government-filed GFL organization chart; SEC filings,Org chart page; SEC filing,https://www.sec.gov/Archives/edgar/data/1780232/000110465926004538/tm262275d5_ex4-1.htm,"Government-filed chart shows a 100%-owned chain including GFL Environmental Inc., GFL Environmental Holdings (US), Inc., GFL Holdco (US), LLC, and American Waste, Inc.",Medium-High,Confirm current chain in a current business-entity filing.
"American Waste, Inc.","American Waste, Inc.",Michigan corporation,American Waste,,Acquired by GFL; former parent/operating company of landfill entity,Former operating parent and brand; acquired landfill from County group and later acquired by GFL,Edward and Michael Ascione - acquired parties in FTC notices; Vicki Garon - engineer in County records,"3947 N US 131 / P.O. Box 1030, Kalkaska, MI 49646",,,,2011-09-30,2020-02-01,FTC notices; GFL SEC filing; County agenda/minutes,Web records; County PDF p.13,https://www.ftc.gov/legal-library/browse/early-termination-notices/20200446,"FTC lists American Waste, Wexford County Landfill, and Wexford Water Technologies in the same acquisition. GFL says it bought American Waste and its subsidiaries effective 2020-02-01. County records call GFL 'formerly American Waste.'",High,"Private purchaser in 2011 is reported as Wexford County Landfill, LLC/American Waste group; deed should be reviewed for the grantee name."
"American Waste Arrow, Inc.","American Waste Arrow, Inc.",Michigan corporation,American Waste - Arrow,,Affiliate acquired in same GFL transaction,Corporate affiliate; no site-specific operating role found,,,,,,2020-01-02,2020-01-02,FTC HSR notices,Web records,https://www.ftc.gov/legal-library/browse/early-termination-notices/20200446,"FTC lists it with American Waste, Wexford County Landfill, LLC, and Wexford Water Technologies, LLC as an acquired entity.",Medium,Affiliate relationship is confirmed; a direct landfill operational role was not found.
"Wexford Water Technologies, LLC","Wexford Water Technologies, LLC",Michigan limited liability company,WWT,,American Waste/GFL group affiliate,Co-located permittee for Class I non-hazardous injection well intended for landfill leachate,,"990 N US Highway 131, Manton, MI 49663; Kalkaska, MI mailing identity","NW 1/4 Sec. 34, T23N R9W; same landfill property",WWT Well 1,"EPA UIC MI-165-1I-0002; state bond $33,000",2015-09-02,2024-01-18,EPA draft permit and fact sheet; EGLE Part 625 map; County minutes,Permit PDF pp.5 and 37; fact sheet PDF pp.1-2; County PDF p.3,https://www.epa.gov/sites/default/files/2017-10/documents/fact_sheet_mi-165-1i-0002.pdf,EPA states WWT planned to dispose of non-hazardous liquid waste from Wexford County Landfill in a well at the landfill address; the permit limits injection to landfill-site wastewater/leachate.,High,Direct operational affiliate for leachate; current injection authorization/operational status should be verified with EPA/EGLE.
"Northern A-1 Industrial Services, L.L.C.","Northern A-1 Industrial Services, L.L.C.",Michigan limited liability company,Northern A-1 Environmental Services,,American Waste/GFL group affiliate,Waste hauler/environmental-services affiliate sharing regional address and phone; documented transporter to Wexford landfill,,"3947 US 131 North, P.O. Box 1030, Kalkaska, MI 49646",,EPA ID MID020906814 (as printed in government waste documents),,2020-02-01,2022-10-03,GFL SEC subsidiary list; government remediation report,SEC filing; report section 2.7,https://www.sec.gov/Archives/edgar/data/1780232/000104746920001027/a2240777zex-21_1.htm,SEC lists Northern A-1 and Wexford entities in the acquired/GFL subsidiary group. A government remediation report says Northern A-1 transported investigation-derived soil to Wexford County Landfill.,High,"Spelling variants include Northern A-1 Environmental Services and Northern A-1 Environmental Services, L.L.C."
"CTI and Associates, Inc.","CTI and Associates, Inc.",Engineering/environmental consulting corporation,CTI,,Independent consultant,"Prepared environmental assessment, engineering, hydrogeology, monitoring plan, plan set, and remedial action plan incorporated into landfill license",,,,WDS 470336 (project),Construction Permit 4100 documents; RAP-LANDUSE-WHMD-2007-A,2007-08-06,2008-10-31,2024 EGLE operating license,PDF p.4,https://www.michigan.gov/-/media/Project/Websites/egle/Documents/Programs/MMD/Licenses/MMD/Solid-Waste/Wexford-County-Landfill.PDF?rev=ce152ff9f27745d8992546409f3343c4,"License item 8 identifies CTI as preparer of six incorporated technical documents, including the 2007 RAP and 2008 expansion materials.",High,No ownership affiliation found.
Golder Associates,Golder Associates Inc.,Engineering/environmental consultant,Golder,,Independent consultant,Name/logo appears on the map attached to Construction Permit 4127,,,,WDS 470336,Construction Permit 4127,2012-08-20,2012-08-20,2012 construction permit map,PDF p.3,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/MMD/Solid-Waste/Solid-Waste-Permits/Wexford-County-Landfill.pdf,"The permit attachment map bears the Golder Associates name/logo, supporting a project-consultant relationship.",Medium-High,Confirm exact contracting entity from the 2012 application volumes.
Team Elmer's,"Elmer's Crane and Dozer, Inc. (exact contracting entity unverified)",Construction contractor / trade name,Team Elmer's,,Independent contractor,Public project portfolio states crews constructed a new landfill cell at Wexford County Landfill,,,,WDS 470336 (project),,Undated,Current web page,Contractor project page,Web page,https://www.teamelmers.com/services/excavation/landfill-construction/,"Contractor states it moved more than 150,000 yards of material and used GPS dozers to create a new cell for the landfill.",Medium,"Exact contract, project date, and contracting legal entity were not located in official landfill records."
AKT Peerless Environmental,"AKT Peerless Environmental Services, LLC (exact entity to verify)",Environmental consultant,AKT Peerless,,Independent waste-project consultant,Requested County approval to dispose 250-300 tons of PFAS-contaminated soil from a Bay City fire station at the landfill,Sean Robinson,"Saginaw, MI",,WDS 470336 (destination),,2020-10-13,2020-10-13,Wexford County Executive Committee agenda packet,PDF p.13,https://wexfordcounty.org/wp-content/uploads/2020/10/Executive-Agenda-Packet-10-13-20.pdf,County agenda documents the disposal request and identifies AKT Peerless as the requesting consultant.,High (transaction); Medium (exact legal suffix),"Connected to a proposed waste-disposal transaction, not shown as an owner or operator."
Pescador,Pescador LLC (exact entity to verify),Planning consultant,,,Independent consultant,County contacted Dan Staub of Pescador regarding the 2020 out-of-county PFAS soil disposal request,Dan Staub,,,,,2020-10-13,2020-10-13,Wexford County Executive Committee agenda packet,PDF p.13,https://wexfordcounty.org/wp-content/uploads/2020/10/Executive-Agenda-Packet-10-13-20.pdf,County agenda says Dan Staub of Pescador was contacted in connection with the requested disposal.,Medium,Role is documented but exact legal entity and scope are not stated in the agenda.
Cedar Creek Township,"Cedar Creek Township, Wexford County, Michigan",Michigan township government,,,Host municipality,Landfill is located in Cedar Creek Township; township was to receive a per-ton fee for a proposed out-of-county disposal,Township officials,"Cedar Creek Township, Wexford County, MI","W 1/2 Sec. 34 and E 1/2 Sec. 33, T23N R9W",WDS 470336 (host site),Construction Permit 4127,2012-08-20,2020-10-13,2012 construction permit; County PFAS agenda,Permit PDF p.1; County PDF p.13,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/MMD/Solid-Waste/Solid-Waste-Permits/Wexford-County-Landfill.pdf,Permit locates the facility in Cedar Creek Township; County agenda documents the host-fee relationship.,High,"Governmental host, not an owner/operator in current records."
City of Cadillac,"City of Cadillac, Michigan",Michigan municipal corporation,,,,Municipal WWTP formerly accepted landfill leachate; identified landfill as an industrial PFOS source and ceased accepting discharge in summer 2019,,"Cadillac, MI",,,City WWTP IPP/PFAS program,Before 2019,2019-08-31,Michigan PFAS response reporting summarized in MPART-related coverage,Web report,https://www.michigan.gov/pfasresponse/investigations/sites-aoi%20,Public reporting states the City identified the landfill as an industrial PFOS source and stopped accepting landfill discharge in summer 2019.,Medium-High,"The underlying March 4, 2019 EGLE letter and City IPP records should be obtained for primary-source confirmation."
Neptune,Unverified,Equipment/process name,,,,Named in the 'Leachate Lagoon and Spray Curtain Engineering Certification and (Neptune) Operation Plan',,,,WDS 470336,,2015-10-01,2015-10-31,2024 EGLE operating license,PDF p.4,https://www.michigan.gov/-/media/Project/Websites/egle/Documents/Programs/MMD/Licenses/MMD/Solid-Waste/Wexford-County-Landfill.PDF?rev=ce152ff9f27745d8992546409f3343c4,"License names Neptune parenthetically in an incorporated leachate-operation plan but does not establish whether it is a company, system, or product.",Low,Manual review of the October 2015 plan is required before treating Neptune as an organization.
Wexford Landfill LLC,No matching legal entity confirmed,Searched name variant,,,,"No distinct relationship found; appears to be shorthand for Wexford County Landfill, LLC",,,,,,2026-08-14,2026-08-14,Official-source web searches and EGLE facility records,N/A,https://www.michigan.gov/egle/about/organization/materials-management/solid-waste/solid-waste-disposal-areas/landfill/470336,"Official landfill records reviewed use Wexford County Landfill, LLC, not this exact shortened LLC name.",Low,Retain as a search term; do not treat as a separate entity absent a filing.
Wexford County Landfill Authority,No matching authority confirmed,Searched name variant,,,,No distinct authority found in reviewed official County/EGLE records,,,,,,2026-08-14,2026-08-14,Official-source web searches and County/EGLE records,N/A,https://wexfordcounty.org/?page_id=466,"County records identify the County DPW and County government, not a separate landfill authority.",Low,Do not infer an authority from the facility name.
Wexford LLC,Wexford LLC (Delaware; Kraft Heinz subsidiary),Delaware limited liability company,,,Kraft Heinz subsidiary; no landfill affiliation found,No connection found to Wexford County Landfill,,,,,,2020-02-14,2026-08-14,SEC subsidiary filing and official-source searches,SEC exhibit,https://www.sec.gov/Archives/edgar/data/1637459/000163745920000027/exhibit211.htm,"An exact-name entity exists as a Delaware subsidiary of Kraft Heinz, but no shared address, personnel, permits, parcels, or operational evidence links it to the Michigan landfill.",High (unrelated finding),Excluded from the landfill relationship chain; recorded to prevent false association based on name alone.
Michigan Department of Environmental Quality,State of Michigan agency (former agency name),State regulator,MDEQ; DEQ,Michigan Department of Natural Resources (historic predecessor functions); succeeded by EGLE,State of Michigan,Issued permits and approved plans before EGLE renaming,,"Cadillac District / Lansing, MI",,WDS 470336,4100; 4127; RAP-LANDUSE-WHMD-2007-A,2007-08-09,2019-04-21,Construction permit and incorporated license history,Permit PDF pp.1-2; license PDF p.4,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/MMD/Solid-Waste/Solid-Waste-Permits/Wexford-County-Landfill.pdf,Official permits and historical approvals identify MDEQ/DEQ as regulator.,High,"Regulator, not affiliate."
"Michigan Department of Environment, Great Lakes, and Energy","Michigan Department of Environment, Great Lakes, and Energy",State regulator,EGLE,Michigan Department of Environmental Quality,State of Michigan,"Current solid-waste, air, PFAS, and remediation regulator",,"Cadillac District / Lansing, MI",,WDS 470336; MIK363495375; Air SRN N3862,Operating License 9758; MI-ROP-N3862-2022,2019-04-22,2026-04-28,"EGLE facility profile, license, WDS and air records",Multiple official records,https://www.michigan.gov/egle/about/organization/materials-management/solid-waste/solid-waste-disposal-areas/landfill/470336,"EGLE maintains the facility profile, licenses, WDS owner/operator history, financial assurance, compliance, and monitoring records.",High,"Regulator, not affiliate."
U.S. Environmental Protection Agency,United States Environmental Protection Agency,Federal regulator,EPA,,United States government,UIC permitting authority for Wexford Water Technologies' landfill-leachate injection well,,"Region 5, 77 W Jackson Blvd, Chicago, IL 60604",,WWT Well 1,MI-165-1I-0002,2017-10-01,2018-10-02,EPA draft permit and fact sheet,Permit PDF pp.5 and 37; fact sheet pp.1-2,https://www.epa.gov/sites/default/files/2017-10/documents/fact_sheet_mi-165-1i-0002.pdf,EPA permit materials identify Wexford Water Technologies as permittee and landfill wastewater/leachate as the authorized waste source.,High,"Regulator, not affiliate."
