Document Class (determined),Coverage Start,Coverage End,Coverage Days,New Filename,Folder,Original Filename,MiEnviro Category,MiEnviro Document Class (prior),Class Changed,MiEnviro DocDate,Document Mgmt ID,MiEnviro Original Name,MiEnviro Deep Link,Pages,Text Source,Determination Basis,Confidence,Adjudicated by Claude,SHA256,Bytes
DMR / Monthly Monitoring,2010-07-28,2010-07-28,1,2010-07-28 to 2010-07-28 0001_2010-07-28_2010_0728_Cadillac WWTP_DMR QA-30.pdf,DMR - Monthly Monitoring,0001_2010-07-28_2010_0728_Cadillac WWTP_DMR QA-30.pdf,NPDES Misc. Site Docs,Site / Miscellaneous,YES,2010-07-28,-6937581027589815058,2010_0728_Cadillac WWTP_DMR QA-30.pdf,https://mienviro.michigan.gov/ncore/downloadpdf/-6937581027589815058,39,OCR (tesseract),EPA DMR-QA Study 30 permittee data report form submittal,high,,e12b255837e5fe15b324b119531b533b5a4b070d98e6c995d96bdb6f92d0a704,1646356
DMR / Monthly Monitoring,2011-08-05,2011-08-05,1,2011-08-05 to 2011-08-05 0011_2011-08-05_2011_0805_Cadillac WWTP_DMR QA-31.pdf,DMR - Monthly Monitoring,0011_2011-08-05_2011_0805_Cadillac WWTP_DMR QA-31.pdf,NPDES Misc. Site Docs,Site / Miscellaneous,YES,2011-08-05,9070706673294423682,2011_0805_Cadillac WWTP_DMR QA-31.pdf,https://mienviro.michigan.gov/ncore/downloadpdf/9070706673294423682,24,OCR (tesseract),EPA DMR-QA Study 31 proficiency data report form,high,,a5901abb04e2a765f74e83ec7ea53c7a3b391a8bf1dc0556da3f9c3f40039a60,1093260
DMR / Monthly Monitoring,2012-08-17,2012-08-17,1,2012-08-17 to 2012-08-17 0021_2012-08-17_2012_0817_Cadillac WWTP_DMR QA-32.pdf,DMR - Monthly Monitoring,0021_2012-08-17_2012_0817_Cadillac WWTP_DMR QA-32.pdf,NPDES Misc. Site Docs,Site / Miscellaneous,YES,2012-08-17,-2140745704635662606,2012_0817_Cadillac WWTP_DMR QA-32.pdf,https://mienviro.michigan.gov/ncore/downloadpdf/-2140745704635662606,11,OCR (tesseract),EPA DMR-QA Study 32 proficiency data report form,high,,080148d335509f04f7c17d3b300bde65d3337e936b63b3783ca47a2d3c4e5b16,486036
DMR / Monthly Monitoring,2013-08-14,2013-08-14,1,2013-08-14 to 2013-08-14 0038_2013-08-14_2013_0814_Cadillac WWTP_DMR QA-33.pdf,DMR - Monthly Monitoring,0038_2013-08-14_2013_0814_Cadillac WWTP_DMR QA-33.pdf,NPDES Misc. Site Docs,Site / Miscellaneous,YES,2013-08-14,4611196213415728235,2013_0814_Cadillac WWTP_DMR QA-33.pdf,https://mienviro.michigan.gov/ncore/downloadpdf/4611196213415728235,33,OCR (tesseract),EPA DMR-QA Study 33 proficiency data report form,high,,0020874aad97bf0707f845b3fcbfff7ccdc5aa55971ad8bb5eeb3d624359666d,1370064
DMR / Monthly Monitoring,2014-01-01,2014-12-31,365,2014-01-01 to 2014-12-31 0065_2014-08-18_2014_0818_Cadillac WWTP_DMR QA-34.pdf,DMR - Monthly Monitoring,0065_2014-08-18_2014_0818_Cadillac WWTP_DMR QA-34.pdf,NPDES Misc. Site Docs,Site / Miscellaneous,YES,2014-08-18,2417529640713035099,2014_0818_Cadillac WWTP_DMR QA-34.pdf,https://mienviro.michigan.gov/ncore/downloadpdf/2417529640713035099,26,OCR (tesseract),"DMR-QA Study 34 proficiency testing certification, conducted in 2014",high,,32bc7f72220a9676e1cc2883346c6d97df624082d33fb1c61aae28f10feea949,1059234
DMR / Monthly Monitoring,2014-10-01,2015-09-30,365,2014-10-01 to 2015-09-30 0106_2015-10-30_DMR Summary - MI0020257 _10_01_2014_to_09_30_2015_V1.pdf,DMR - Monthly Monitoring,0106_2015-10-30_DMR Summary - MI0020257 _10_01_2014_to_09_30_2015_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2015-10-30,3033334029711207746,DMR Summary - MI0020257 _10_01_2014_to_09_30_2015_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/3033334029711207746,4,embedded text,"DMR form, SLDL limit set, stated period 10/1/2014-9/30/2015",medium,,beeb79d6ff4986620fdecd7a55ba7956c34b0de19109cea4116021afd52ca49b,103199
DMR / Monthly Monitoring,2015-01-01,2015-12-31,365,2015-01-01 to 2015-12-31 0095_2015-08-05_2015_0805_Cadillac WWTP_DMR QA-35.pdf,DMR - Monthly Monitoring,0095_2015-08-05_2015_0805_Cadillac WWTP_DMR QA-35.pdf,NPDES Misc. Site Docs,Site / Miscellaneous,YES,2015-08-05,1276091315669172082,2015_0805_Cadillac WWTP_DMR QA-35.pdf,https://mienviro.michigan.gov/ncore/downloadpdf/1276091315669172082,21,OCR (tesseract),"DMR-QA 35 proficiency study data report form, study conducted 2015",high,,8593a5392d3c9f2a635cd3afcd985fdc92e636ab718757f46e6cfa487921abed,720193
DMR / Monthly Monitoring,2015-01-01,2015-12-31,365,2015-01-01 to 2015-12-31 0112_2016-01-11_Cadillac WWTP DMRQA 35.pdf,DMR - Monthly Monitoring,0112_2016-01-11_Cadillac WWTP DMRQA 35.pdf,NPDES Misc. Site Docs,DMR / Monthly Monitoring,,2016-01-11,-6731013379800742486,Cadillac WWTP DMRQA 35.pdf,https://mienviro.michigan.gov/ncore/downloadpdf/-6731013379800742486,21,OCR (tesseract),"DMR-QA 35 proficiency study data report form, study conducted 2015",high,,ae2f198299bb86cfbb0bf1e08756b3aab575a0d825e71677d8f70493ea8fc17b,1284984
DMR / Monthly Monitoring,2015-07-01,2015-07-31,31,2015-07-01 to 2015-07-31 0096_2015-08-28_DMR Daily - MI0020257 _07_01_2015_to_07_31_2015_V1.pdf,DMR - Monthly Monitoring,0096_2015-08-28_DMR Daily - MI0020257 _07_01_2015_to_07_31_2015_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2015-08-28,2280799879135776031,DMR Daily - MI0020257 _07_01_2015_to_07_31_2015_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/2280799879135776031,6,embedded text,"Daily DMR, stated DMR period 7/1/2015-7/31/2015",high,,b5b470e06797e906d3556fb5ebd5b0a18477d36d5307f840f05bf28a70d6034d,121874
DMR / Monthly Monitoring,2015-07-01,2015-07-31,31,2015-07-01 to 2015-07-31 0097_2015-08-28_DMR Summary - MI0020257 _07_01_2015_to_07_31_2015_V1.pdf,DMR - Monthly Monitoring,0097_2015-08-28_DMR Summary - MI0020257 _07_01_2015_to_07_31_2015_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2015-08-28,-1721928645533378386,DMR Summary - MI0020257 _07_01_2015_to_07_31_2015_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/-1721928645533378386,4,embedded text,"DMR summary, stated DMR period 7/1/2015-7/31/2015",high,,947a21a4eb7c254d5a32b660e647f43f7f75006ab04eede030efcea056144faf,102980
DMR / Monthly Monitoring,2015-08-01,2015-08-31,31,2015-08-01 to 2015-08-31 0098_2015-09-18_DMR Daily - MI0020257 _08_01_2015_to_08_31_2015_V1.pdf,DMR - Monthly Monitoring,0098_2015-09-18_DMR Daily - MI0020257 _08_01_2015_to_08_31_2015_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2015-09-18,5114320877368267073,DMR Daily - MI0020257 _08_01_2015_to_08_31_2015_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/5114320877368267073,6,embedded text,"Daily DMR, stated DMR period 8/1/2015-8/31/2015",high,,fb4cd4a3e56438fc39f3fd3d4582d8d6a6be1947918cadcefc1f3eb18ac21620,121743
DMR / Monthly Monitoring,2015-08-01,2015-08-31,31,2015-08-01 to 2015-08-31 0099_2015-09-18_DMR Summary - MI0020257 _08_01_2015_to_08_31_2015_V1.pdf,DMR - Monthly Monitoring,0099_2015-09-18_DMR Summary - MI0020257 _08_01_2015_to_08_31_2015_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2015-09-18,1158228285416033370,DMR Summary - MI0020257 _08_01_2015_to_08_31_2015_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/1158228285416033370,4,embedded text,"DMR summary, stated DMR period 8/1/2015-8/31/2015",high,,22c00fcd8d59688b4f4c91d754e7c02c373859ec4d826e97b4618aee3f95d525,103176
DMR / Monthly Monitoring,2015-09-01,2015-09-30,30,2015-09-01 to 2015-09-30 0103_2015-10-20_DMR Daily - MI0020257 _09_01_2015_to_09_30_2015_V1.pdf,DMR - Monthly Monitoring,0103_2015-10-20_DMR Daily - MI0020257 _09_01_2015_to_09_30_2015_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2015-10-20,1246990738065777350,DMR Daily - MI0020257 _09_01_2015_to_09_30_2015_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/1246990738065777350,6,embedded text,"Daily DMR, stated DMR period 9/1/2015-9/30/2015",high,,f546130ef47035519cdb1f28f3838046427e8cacf0f2f9cdec6f84e376f8ca1b,122193
DMR / Monthly Monitoring,2015-09-01,2015-09-30,30,2015-09-01 to 2015-09-30 0104_2015-10-20_DMR Summary - MI0020257 _09_01_2015_to_09_30_2015_V1.pdf,DMR - Monthly Monitoring,0104_2015-10-20_DMR Summary - MI0020257 _09_01_2015_to_09_30_2015_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2015-10-20,5720021817529393512,DMR Summary - MI0020257 _09_01_2015_to_09_30_2015_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/5720021817529393512,4,embedded text,"DMR summary, stated DMR period 9/1/2015-9/30/2015",high,,2c0d57442e9a99dbba62e9073ae499f84e43089fd65253426ad9dbb92897033e,102922
DMR / Monthly Monitoring,2015-10-01,2015-10-31,31,2015-10-01 to 2015-10-31 0107_2015-11-19_DMR Daily - MI0020257 _10_01_2015_to_10_31_2015_V1.pdf,DMR - Monthly Monitoring,0107_2015-11-19_DMR Daily - MI0020257 _10_01_2015_to_10_31_2015_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2015-11-19,-751241790278250853,DMR Daily - MI0020257 _10_01_2015_to_10_31_2015_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/-751241790278250853,6,embedded text,"Daily DMR, stated DMR period 10/1/2015-10/31/2015",high,,5d15a3aac0427ded0bab49817fab70f00e2c5ab49be6dd3fd3a76f8ca92913a5,122768
DMR / Monthly Monitoring,2015-10-01,2015-10-31,31,2015-10-01 to 2015-10-31 0108_2015-11-19_DMR Summary - MI0020257 _10_01_2015_to_10_31_2015_V1.pdf,DMR - Monthly Monitoring,0108_2015-11-19_DMR Summary - MI0020257 _10_01_2015_to_10_31_2015_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2015-11-19,-4008341624842458816,DMR Summary - MI0020257 _10_01_2015_to_10_31_2015_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/-4008341624842458816,4,embedded text,"DMR summary, stated DMR period 10/1/2015-10/31/2015",high,,4af32883ededdf7f5c25e19c25897d2f67ef205f265956ee38ac869dc7c63139,102936
DMR / Monthly Monitoring,2015-10-01,2016-09-30,366,2015-10-01 to 2016-09-30 0143_2016-10-25_DMR Summary - MI0020257 _10_01_2015_to_09_30_2016_V1.pdf,DMR - Monthly Monitoring,0143_2016-10-25_DMR Summary - MI0020257 _10_01_2015_to_09_30_2016_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2016-10-25,-8068360832484337569,DMR Summary - MI0020257 _10_01_2015_to_09_30_2016_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/-8068360832484337569,4,embedded text,"DMR summary, stated DMR period on face of form",high,,61ed848f21560b247e951ff0a5f5e312e13ab82fc540e3bddc717b1435537091,103056
DMR / Monthly Monitoring,2015-11-01,2015-11-30,30,2015-11-01 to 2015-11-30 0110_2015-12-19_DMR Daily - MI0020257 _11_01_2015_to_11_30_2015_V1.pdf,DMR - Monthly Monitoring,0110_2015-12-19_DMR Daily - MI0020257 _11_01_2015_to_11_30_2015_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2015-12-19,-2076524723866920213,DMR Daily - MI0020257 _11_01_2015_to_11_30_2015_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/-2076524723866920213,6,embedded text,"Daily DMR, stated DMR period 11/1/2015-11/30/2015",high,,3d0895136655025f050f79a91dfaa51cf5cc62d4d779ad4dc830807a4485c520,121734
DMR / Monthly Monitoring,2015-11-01,2015-11-30,30,2015-11-01 to 2015-11-30 0111_2015-12-19_DMR Summary - MI0020257 _11_01_2015_to_11_30_2015_V1.pdf,DMR - Monthly Monitoring,0111_2015-12-19_DMR Summary - MI0020257 _11_01_2015_to_11_30_2015_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2015-12-19,6280680775372517980,DMR Summary - MI0020257 _11_01_2015_to_11_30_2015_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/6280680775372517980,4,embedded text,"DMR summary, stated DMR period 11/1/2015-11/30/2015",high,,f576a237fca57e6e35d1c6676616ce697a1413254ff654016b2f566c6e0712da,103165
DMR / Monthly Monitoring,2015-12-01,2015-12-31,31,2015-12-01 to 2015-12-31 0114_2016-01-19_DMR Daily - MI0020257 _12_01_2015_to_12_31_2015_V1.pdf,DMR - Monthly Monitoring,0114_2016-01-19_DMR Daily - MI0020257 _12_01_2015_to_12_31_2015_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2016-01-19,-5447789093327103036,DMR Daily - MI0020257 _12_01_2015_to_12_31_2015_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/-5447789093327103036,6,embedded text,"Daily DMR, stated DMR period 12/1/2015-12/31/2015",high,,a899ea16e32a1964f36f21e544271676a5b3f162fdbcdd32460837aea9ad2703,124126
DMR / Monthly Monitoring,2015-12-01,2015-12-31,31,2015-12-01 to 2015-12-31 0115_2016-01-19_DMR Summary - MI0020257 _12_01_2015_to_12_31_2015_V1.pdf,DMR - Monthly Monitoring,0115_2016-01-19_DMR Summary - MI0020257 _12_01_2015_to_12_31_2015_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2016-01-19,-4193025276374184094,DMR Summary - MI0020257 _12_01_2015_to_12_31_2015_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/-4193025276374184094,4,embedded text,"DMR summary, stated DMR period 12/1/2015-12/31/2015",high,,e10e94fae0dfecffd74c6b88e82a6943bc68909b1a948ab0090b45ede79b601d,105393
DMR / Monthly Monitoring,2016-01-01,2016-01-31,31,2016-01-01 to 2016-01-31 0121_2016-02-20_DMR Daily - MI0020257 _01_01_2016_to_01_31_2016_V1.pdf,DMR - Monthly Monitoring,0121_2016-02-20_DMR Daily - MI0020257 _01_01_2016_to_01_31_2016_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2016-02-20,6525466383076021292,DMR Daily - MI0020257 _01_01_2016_to_01_31_2016_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/6525466383076021292,6,embedded text,"Daily DMR, stated DMR period 1/1/2016-1/31/2016",high,,583b88829be7849b306e263e11dcb1ff531863978d9af634a12f3f9e37314fbd,124190
DMR / Monthly Monitoring,2016-01-01,2016-01-31,31,2016-01-01 to 2016-01-31 0122_2016-02-20_DMR Summary - MI0020257 _01_01_2016_to_01_31_2016_V1.pdf,DMR - Monthly Monitoring,0122_2016-02-20_DMR Summary - MI0020257 _01_01_2016_to_01_31_2016_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2016-02-20,-3488789892444246103,DMR Summary - MI0020257 _01_01_2016_to_01_31_2016_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/-3488789892444246103,4,embedded text,"DMR summary, stated DMR period 1/1/2016-1/31/2016",high,,9d58801b45c8dd649e5daf9367318381489ddca8c8073227f156bcaaadcd21d8,105532
DMR / Monthly Monitoring,2016-01-01,2016-12-31,366,2016-01-01 to 2016-12-31 0135_2016-08-02_2016_0802_Cadillac WWTP_DMR QA-36.pdf,DMR - Monthly Monitoring,0135_2016-08-02_2016_0802_Cadillac WWTP_DMR QA-36.pdf,NPDES Misc. Site Docs,Site / Miscellaneous,YES,2016-08-02,3518176617040371250,2016_0802_Cadillac WWTP_DMR QA-36.pdf,https://mienviro.michigan.gov/ncore/downloadpdf/3518176617040371250,31,OCR (tesseract),"DMR-QA 36 proficiency study data report form, study conducted 2016",high,,a8bb9467f51dde7678fc1010fa2f79f3dee23ec414d965901ddd8bf80c5a799c,1290302
DMR / Monthly Monitoring,2016-01-01,2016-12-31,366,2016-01-01 to 2016-12-31 0146_2016-12-06_DMRQA 36.Cadillac WWTP.pdf,DMR - Monthly Monitoring,0146_2016-12-06_DMRQA 36.Cadillac WWTP.pdf,NPDES Misc. Site Docs,DMR / Monthly Monitoring,,2016-12-06,4594408055865795856,DMRQA 36.Cadillac WWTP.pdf,https://mienviro.michigan.gov/ncore/downloadpdf/4594408055865795856,31,OCR (tesseract),"DMR-QA 36 proficiency study data report form, conducted 2016",medium,,80f09f03f46a92a716a45d644639b65aecb6ce5f6a0ec9cfc3449290ece26537,1449684
DMR / Monthly Monitoring,2016-02-01,2016-02-29,29,2016-02-01 to 2016-02-29 0124_2016-03-16_DMR Daily - MI0020257 _02_01_2016_to_02_29_2016_V1.pdf,DMR - Monthly Monitoring,0124_2016-03-16_DMR Daily - MI0020257 _02_01_2016_to_02_29_2016_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2016-03-16,-6884866009572813818,DMR Daily - MI0020257 _02_01_2016_to_02_29_2016_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/-6884866009572813818,6,embedded text,"Daily DMR, stated DMR period 2/1/2016-2/29/2016",high,,713e2ae49158a0f8ec123508559b4c72869a1ea98f55840d9c592cfb59fa9ac8,122785
DMR / Monthly Monitoring,2016-02-01,2016-02-29,29,2016-02-01 to 2016-02-29 0125_2016-03-16_DMR Summary - MI0020257 _02_01_2016_to_02_29_2016_V1.pdf,DMR - Monthly Monitoring,0125_2016-03-16_DMR Summary - MI0020257 _02_01_2016_to_02_29_2016_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2016-03-16,-3461689102167870562,DMR Summary - MI0020257 _02_01_2016_to_02_29_2016_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/-3461689102167870562,4,embedded text,"DMR summary, stated DMR period 2/1/2016-2/29/2016",high,,23753e39b1e3bbd77544b2e5052ab6f3b001e9321c03e49ece0f51277168db53,105880
DMR / Monthly Monitoring,2016-03-01,2016-03-31,31,2016-03-01 to 2016-03-31 0126_2016-04-18_DMR Daily - MI0020257 _03_01_2016_to_03_31_2016_V1.pdf,DMR - Monthly Monitoring,0126_2016-04-18_DMR Daily - MI0020257 _03_01_2016_to_03_31_2016_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2016-04-18,-2502838247090599202,DMR Daily - MI0020257 _03_01_2016_to_03_31_2016_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/-2502838247090599202,6,embedded text,"Daily DMR, stated DMR period 3/1/2016-3/31/2016",high,,52861ed97ab03ce1cabf7f12018d30c64997ebcf15d066de1a86a5df1b9bd2de,124372
DMR / Monthly Monitoring,2016-03-01,2016-03-31,31,2016-03-01 to 2016-03-31 0127_2016-04-18_DMR Summary - MI0020257 _03_01_2016_to_03_31_2016_V1.pdf,DMR - Monthly Monitoring,0127_2016-04-18_DMR Summary - MI0020257 _03_01_2016_to_03_31_2016_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2016-04-18,1049897993402206269,DMR Summary - MI0020257 _03_01_2016_to_03_31_2016_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/1049897993402206269,4,embedded text,"DMR summary, stated DMR period 3/1/2016-3/31/2016",high,,99c7c1ad795d36e413c12c8003e5b25e3c24ae930130d59874a7e1be40aa319b,105558
DMR / Monthly Monitoring,2016-04-01,2016-04-30,30,2016-04-01 to 2016-04-30 0128_2016-05-16_DMR Daily - MI0020257 _04_01_2016_to_04_30_2016_V1.pdf,DMR - Monthly Monitoring,0128_2016-05-16_DMR Daily - MI0020257 _04_01_2016_to_04_30_2016_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2016-05-16,-6425285818055725556,DMR Daily - MI0020257 _04_01_2016_to_04_30_2016_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/-6425285818055725556,6,embedded text,"Daily DMR, stated DMR period 4/1/2016-4/30/2016",high,,e3784867b57af6318612531be20bbf9768bdaa007a66e281635a27c68353a8df,124112
DMR / Monthly Monitoring,2016-04-01,2016-04-30,30,2016-04-01 to 2016-04-30 0129_2016-05-16_DMR Summary - MI0020257 _04_01_2016_to_04_30_2016_V1.pdf,DMR - Monthly Monitoring,0129_2016-05-16_DMR Summary - MI0020257 _04_01_2016_to_04_30_2016_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2016-05-16,-4336303018773149137,DMR Summary - MI0020257 _04_01_2016_to_04_30_2016_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/-4336303018773149137,4,embedded text,"DMR summary, stated DMR period 4/1/2016-4/30/2016",high,,4274d70b33b1f283d1b6089c4b38f115fa383a4fa9cb66c7e38d1f835ab8a7df,112438
DMR / Monthly Monitoring,2016-05-01,2016-05-31,31,2016-05-01 to 2016-05-31 0131_2016-06-15_DMR Daily - MI0020257 _05_01_2016_to_05_31_2016_V1.pdf,DMR - Monthly Monitoring,0131_2016-06-15_DMR Daily - MI0020257 _05_01_2016_to_05_31_2016_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2016-06-15,6177350560736608063,DMR Daily - MI0020257 _05_01_2016_to_05_31_2016_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/6177350560736608063,6,embedded text,"Daily DMR, stated DMR period 5/1/2016-5/31/2016",high,,81b4755c8254f15069198deb7df9e956337fc3935d4041d1cd7c38e48ca775ef,122472
DMR / Monthly Monitoring,2016-05-01,2016-05-31,31,2016-05-01 to 2016-05-31 0132_2016-06-15_DMR Summary - MI0020257 _05_01_2016_to_05_31_2016_V1.pdf,DMR - Monthly Monitoring,0132_2016-06-15_DMR Summary - MI0020257 _05_01_2016_to_05_31_2016_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2016-06-15,-9054802322981204104,DMR Summary - MI0020257 _05_01_2016_to_05_31_2016_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/-9054802322981204104,4,embedded text,"DMR summary, stated DMR period 5/1/2016-5/31/2016",high,,e5f901dcf686a7a9f12cb3ad7591fe4ad1282d9015f7aee32d291c1dcd1dc46d,103193
DMR / Monthly Monitoring,2016-06-01,2016-06-30,30,2016-06-01 to 2016-06-30 0133_2016-07-15_DMR Daily - MI0020257 _06_01_2016_to_06_30_2016_V1.pdf,DMR - Monthly Monitoring,0133_2016-07-15_DMR Daily - MI0020257 _06_01_2016_to_06_30_2016_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2016-07-15,-2645731656519523748,DMR Daily - MI0020257 _06_01_2016_to_06_30_2016_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/-2645731656519523748,6,embedded text,"Daily DMR, stated DMR period 6/1/2016-6/30/2016",high,,08edaee8590c5fa5578ccb41e26ee53037eb210266efa0ba068d00fb77fd9fe8,122336
DMR / Monthly Monitoring,2016-06-01,2016-06-30,30,2016-06-01 to 2016-06-30 0134_2016-07-15_DMR Summary - MI0020257 _06_01_2016_to_06_30_2016_V1.pdf,DMR - Monthly Monitoring,0134_2016-07-15_DMR Summary - MI0020257 _06_01_2016_to_06_30_2016_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2016-07-15,-6126364658004482120,DMR Summary - MI0020257 _06_01_2016_to_06_30_2016_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/-6126364658004482120,4,embedded text,"DMR summary, stated DMR period 6/1/2016-6/30/2016",high,,21800141cc1057d10f67f263c85c0d1734524c78946b4616c908491687b399eb,102942
DMR / Monthly Monitoring,2016-07-01,2016-07-31,31,2016-07-01 to 2016-07-31 0136_2016-08-12_DMR Daily - MI0020257 _07_01_2016_to_07_31_2016_V1.pdf,DMR - Monthly Monitoring,0136_2016-08-12_DMR Daily - MI0020257 _07_01_2016_to_07_31_2016_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2016-08-12,1005010368843969925,DMR Daily - MI0020257 _07_01_2016_to_07_31_2016_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/1005010368843969925,6,embedded text,"Daily DMR, stated DMR period 7/1/2016-7/31/2016",high,,ca3cea0d6bb9d4a3613c4fb2c577754d0dd70faffca522671c47111ad0074a70,123035
DMR / Monthly Monitoring,2016-07-01,2016-07-31,31,2016-07-01 to 2016-07-31 0137_2016-08-12_DMR Summary - MI0020257 _07_01_2016_to_07_31_2016_V1.pdf,DMR - Monthly Monitoring,0137_2016-08-12_DMR Summary - MI0020257 _07_01_2016_to_07_31_2016_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2016-08-12,-41646711706265012,DMR Summary - MI0020257 _07_01_2016_to_07_31_2016_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/-41646711706265012,4,embedded text,"DMR summary, stated DMR period 7/1/2016-7/31/2016",high,,11f5f6e5de0167f9c1afac6b25871b22d70d507ca230341b537d0845cbaca684,109882
DMR / Monthly Monitoring,2016-08-01,2016-08-31,31,2016-08-01 to 2016-08-31 0138_2016-09-16_DMR Daily - MI0020257 _08_01_2016_to_08_31_2016_V1.pdf,DMR - Monthly Monitoring,0138_2016-09-16_DMR Daily - MI0020257 _08_01_2016_to_08_31_2016_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2016-09-16,2071454628388704794,DMR Daily - MI0020257 _08_01_2016_to_08_31_2016_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/2071454628388704794,6,embedded text,"Daily DMR, stated DMR period 8/1/2016-8/31/2016",high,,0db5d511b9a4119a63b7af7290f2356daff13620bc88e3ceeef77b42d9fb6562,122533
DMR / Monthly Monitoring,2016-08-01,2016-08-31,31,2016-08-01 to 2016-08-31 0139_2016-09-16_DMR Summary - MI0020257 _08_01_2016_to_08_31_2016_V1.pdf,DMR - Monthly Monitoring,0139_2016-09-16_DMR Summary - MI0020257 _08_01_2016_to_08_31_2016_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2016-09-16,-8864258566189946951,DMR Summary - MI0020257 _08_01_2016_to_08_31_2016_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/-8864258566189946951,4,embedded text,"DMR summary, stated DMR period 8/1/2016-8/31/2016",high,,e7f9764dc9bfc77c561c3fad5eb7526e4ea19a5441b2176a88ff12f7f18fbe11,103176
DMR / Monthly Monitoring,2016-09-01,2016-09-30,30,2016-09-01 to 2016-09-30 0140_2016-10-18_DMR Daily - MI0020257 _09_01_2016_to_09_30_2016_V1.pdf,DMR - Monthly Monitoring,0140_2016-10-18_DMR Daily - MI0020257 _09_01_2016_to_09_30_2016_V1.pdf,Schedule - DMR Documents,DMR / Monthly Monitoring,,2016-10-18,-7163848156117307736,DMR Daily - MI0020257 _09_01_2016_to_09_30_2016_V1.docx,https://mienviro.michigan.gov/ncore/downloadpdf/-7163848156117307736,6,embedded text,"Daily DMR, stated DMR period 9/1/2016-9/30/2016",high,,6f979a1fd6cd9e597f977f17a30e29a8811b10439a69cd9406faae9f3962ada7,122282
