original_name,new_location,document_date,how_date_was_determined,date_confidence,note
201411261120.pdf,07 - Inspections & Evaluations/04-01-2014 - 201411261120.pdf,04-01-2014,date-label:Date:,medium,
2015-11-02__5789094350076066945__Wexford Co LF MIS111718.pdf,12 - Wexford Landfill & Leachate/09-17-2015 - Wexford Co LF MIS111718.pdf,09-17-2015,letterhead-date,high,
2015-11-18__-7708436501529552797__N3862_On-Site Inspection_11-18-2015.pdf,12 - Wexford Landfill & Leachate/11-18-2015 - N3862_On-Site Inspection_11-18-2015.pdf,11-18-2015,letterhead-date,high,
2015-11-18__-9050919094752259216__N3862_Full Compliance Evaluation_11-18-2015.pdf,12 - Wexford Landfill & Leachate/11-18-2015 - N3862_Full Compliance Evaluation_11-18-2015.pdf,11-18-2015,first-date-on-page1,medium,
2015-2016_Wexford County Landfill_District Compliance File.pdf,12 - Wexford Landfill & Leachate/01-25-2016 - 2015-2016_Wexford County Landfill_District Compliance File.pdf,01-25-2016,letterhead-date,high,
2015-2016_Wexford County Landfill_Leachate Request.pdf,12 - Wexford Landfill & Leachate/03-09-2016 - 2015-2016_Wexford County Landfill_Leachate Request.pdf,03-09-2016,letterhead-date,high,
2016-01-25__-1435941263699884850__2015-2016_Wexford County Landfill_District Compliance File.pdf,12 - Wexford Landfill & Leachate/01-25-2016 - 2015-2016_Wexford County Landfill_District Compliance File (copy 2).pdf,01-25-2016,letterhead-date,high,"duplicate copy - kept both, suffixed"
2016-03-09__-1083339404412472014__2015-2016_Wexford County Landfill_Leachate Request.pdf,12 - Wexford Landfill & Leachate/03-09-2016 - 2015-2016_Wexford County Landfill_Leachate Request (copy 2).pdf,03-09-2016,letterhead-date,high,"duplicate copy - kept both, suffixed"
2016-03-16__-1024976884723014956__Flow Rate - Days.pdf,12 - Wexford Landfill & Leachate/03-16-2016 - Flow Rate - Days.pdf,03-16-2016,filename-date,low,
2016-03-16__-2296258207315679752__Fig 5 - North Topo.pdf,12 - Wexford Landfill & Leachate/03-16-2016 - Fig 5 - North Topo.pdf,03-16-2016,filename-date,low,
2016-03-16__-2579877415507872432__Fig 6 - South Topo.pdf,12 - Wexford Landfill & Leachate/03-08-2011 - Fig 6 - South Topo.pdf,03-08-2011,letterhead-date,high,
2016-03-16__-3742461403192295520__lagoon summary.pdf,12 - Wexford Landfill & Leachate/03-16-2016 - lagoon summary.pdf,03-16-2016,reconciled with identical copy,high,
2016-03-16__1093182208806986046__lagoon summary.pdf,12 - Wexford Landfill & Leachate/03-16-2016 - lagoon summary (copy 2).pdf,03-16-2016,reconciled with identical copy,high,"duplicate copy - kept both, suffixed"
2016-03-16__17083605190781609__Fig 3 - Reg Water Well Location.pdf,12 - Wexford Landfill & Leachate/03-14-2012 - Fig 3 - Reg Water Well Location.pdf,03-14-2012,first-date-on-page1,medium,
2016-03-16__4187907776021566409__Fig 4 - Wetland Location.pdf,12 - Wexford Landfill & Leachate/03-16-2016 - Fig 4 - Wetland Location.pdf,03-16-2016,filename-date (OCR unreliable),medium,
2016-03-16__5532481158088134301__Fig 2 - Site Plan.pdf,12 - Wexford Landfill & Leachate/07-18-2012 - Fig 2 - Site Plan.pdf,07-18-2012,letterhead-date,high,
2016-03-16__6073389934025205219__Fig 1 - Site Location.pdf,12 - Wexford Landfill & Leachate/03-16-2016 - Fig 1 - Site Location.pdf,03-16-2016,filename-date (OCR unreliable),medium,
2016-06-01__8483964851346980810__Wexford Landfill Groundwater Discharge Permit Application 2210(y).pdf,12 - Wexford Landfill & Leachate/03-16-2016 - Wexford Landfill Groundwater Discharge Permit Application 2210(y).pdf,03-16-2016,first-date-on-page1,medium,
2016-07-12__-247260436681603705__Rule 2210 Permit Template draft-Wexford Landfill.pdf,12 - Wexford Landfill & Leachate/03-16-2016 - Rule 2210 Permit Template draft-Wexford Landfill.pdf,03-16-2016,letterhead-date,high,
2016-07-12__-6606352708966805341__public notice email-Wexford Landfill.pdf,12 - Wexford Landfill & Leachate/07-12-2016 - public notice email-Wexford Landfill.pdf,07-12-2016,email-sent-date (newest in chain),high,
2016-07-12__1933960216450450685__GW Public Notice Document.pdf,02 - NPDES Permits & Permit Issuance/07-15-2016 - GW Public Notice Document.pdf,07-15-2016,letterhead-date,high,
2016-07-12__2256854210489464197__PN certification form-Wexford Landfill.pdf,12 - Wexford Landfill & Leachate/07-12-2016 - PN certification form-Wexford Landfill.pdf,07-12-2016,letterhead-date,high,
2016-07-12__881861131799560019__e-mail cov let-Wexford Landfill.pdf,12 - Wexford Landfill & Leachate/07-12-2016 - e-mail cov let-Wexford Landfill.pdf,07-12-2016,filename-date,low,
2016-07-26__-7084006178792149061__completed public notice certification form.pdf,02 - NPDES Permits & Permit Issuance/07-12-2016 - completed public notice certification form.pdf,07-12-2016,letterhead-date,high,
2016-09-16__1536283218285486699__Rule 2210 Permit Template-Wexford Landfill.pdf,12 - Wexford Landfill & Leachate/09-06-2016 - Rule 2210 Permit Template-Wexford Landfill.pdf,09-06-2016,issue-label:Issued,high,
2016-09-16__7188222859241126593__email-final authorization-Wexford Landfill.pdf,12 - Wexford Landfill & Leachate/09-16-2016 - email-final authorization-Wexford Landfill.pdf,09-16-2016,email-sent-date (newest in chain),high,
2016-12-19__-4163788102925784663__DMR Daily - GW1010342 _11_01_2016_to_11_30_2016_V1.pdf,12 - Wexford Landfill & Leachate/11-30-2016 - DMR Daily - GW1010342 _11_01_2016_to_11_30_2016_V1.pdf,11-30-2016,DMR period end date,medium,
2016-12-19__-4512338794143814286__DMR Daily - GW1010342 _12_01_2016_to_12_31_2016_V1.pdf,12 - Wexford Landfill & Leachate/12-31-2016 - DMR Daily - GW1010342 _12_01_2016_to_12_31_2016_V1.pdf,12-31-2016,DMR period end date,medium,
2016-12-19__-6092188544089900918__DMR Summary - GW1010342 _10_01_2016_to_10_31_2016_V1.pdf,12 - Wexford Landfill & Leachate/10-31-2016 - DMR Summary - GW1010342 _10_01_2016_to_10_31_2016_V1.pdf,10-31-2016,DMR period end date,medium,
2016-12-19__-7520642319298188802__DMR Daily - GW1010342 _10_01_2016_to_10_31_2016_V1.pdf,12 - Wexford Landfill & Leachate/10-31-2016 - DMR Daily - GW1010342 _10_01_2016_to_10_31_2016_V1.pdf,10-31-2016,DMR period end date,medium,
2016-12-19__1125990733901254352__DMR Summary - GW1010342 _12_01_2016_to_12_31_2016_V1.pdf,12 - Wexford Landfill & Leachate/12-31-2016 - DMR Summary - GW1010342 _12_01_2016_to_12_31_2016_V1.pdf,12-31-2016,DMR period end date,medium,
2016-12-19__9038182517801689559__DMR Summary - GW1010342 _11_01_2016_to_11_30_2016_V1.pdf,12 - Wexford Landfill & Leachate/11-30-2016 - DMR Summary - GW1010342 _11_01_2016_to_11_30_2016_V1.pdf,11-30-2016,DMR period end date,medium,
2017-04-03_Cadillac_WWTP_NPDES_Application.pdf,"13 - Groundwater, Wells & Plett Rd/04-03-2017 - Cadillac_WWTP_NPDES_Application.pdf",04-03-2017,issue-label:Date Submitted,high,
2017-11-06__-7145165304305963063__N3862_On-Site Inspection_11-06-2017.pdf,12 - Wexford Landfill & Leachate/11-06-2017 - N3862_On-Site Inspection_11-06-2017.pdf,11-06-2017,letterhead-date,high,
2017-11-06__7395535843906233555__N3862_Full Compliance Evaluation_11-06-2017.pdf,12 - Wexford Landfill & Leachate/11-06-2017 - N3862_Full Compliance Evaluation_11-06-2017.pdf,11-06-2017,first-date-on-page1,medium,
2018 - TEST-AMERICA-REPORT-J17646-1-UDS-Level-2-Report-Final-Report (1).pdf,06 - Lab Results & Sampling (general)/10-29-2018 - 2018 - TEST-AMERICA-REPORT-J17646-1-UDS-Level-2-Report-Final-Report.pdf,10-29-2018,issue-label:Authorized for release,high,
2018 IPP Screening - Monitoring Plan.180627modif.pdf,03 - IPP (Industrial Pretreatment)/06-27-2018 - 2018 IPP Screening - Monitoring Plan.180627modif.pdf,06-27-2018,filename+confirmed-in-doc,high,
2018 IPP Screening - Monitoring Plan.Update181130.pdf,03 - IPP (Industrial Pretreatment)/11-30-2018 - 2018 IPP Screening - Monitoring Plan.Update181130.pdf,11-30-2018,filename-YYMMDD,medium,
2018-07-02__2992214570167366846__Wexford Co Landfill Termination Form (1).pdf,12 - Wexford Landfill & Leachate/07-02-2018 - Wexford Co Landfill Termination Form.pdf,07-02-2018,letterhead-date,high,
2018-07-02__7252439946607050394__Wexford County Landfill Termination Issued Letter (1).pdf,12 - Wexford Landfill & Leachate/07-02-2018 - Wexford County Landfill Termination Issued Letter.pdf,07-02-2018,letterhead-date,high,
2018-07-09__-7768228693379842427__Wexford County Landfill GW1010342 Termination 7-2-18 Green Card Ret'd.pdf,12 - Wexford Landfill & Leachate/07-02-2018 - Wexford County Landfill GW1010342 Termination 7-2-18 Green Card Ret'd.pdf,07-02-2018,reconciled with identical copy,medium,
2018_POTW_Oversight_Table.pdf,12 - Wexford Landfill & Leachate/11-13-2017 - 2018_POTW_Oversight_Table.pdf,11-13-2017,first-date-on-page1,medium,
2018_SIU-CIU_List.pdf,03 - IPP (Industrial Pretreatment)/01-01-2018 - 2018_SIU-CIU_List.pdf,01-01-2018,filename-year,low,
2019-10-16 CC-002274 Cadillac WWTP.pdf,03 - IPP (Industrial Pretreatment)/08-30-2019 - CC-002274 Cadillac WWTP.pdf,08-30-2019,issue-label:issued,high,
2019-11-06_Wexford_County_BOC_Minutes-2.pdf,18 - Meeting Minutes & Public Body Records/11-06-2019 - Wexford_County_BOC_Minutes-2.pdf,11-06-2019,letterhead-date,high,
2019-11-06_Wexford_County_BOC_Minutes-3.pdf,18 - Meeting Minutes & Public Body Records/11-06-2019 - Wexford_County_BOC_Minutes-3.pdf,11-06-2019,letterhead-date,high,
2019-11-06_Wexford_County_BOC_Minutes-4.pdf,18 - Meeting Minutes & Public Body Records/11-06-2019 - Wexford_County_BOC_Minutes-4.pdf,11-06-2019,letterhead-date,high,
2019-11-06_Wexford_County_BOC_Minutes-5.pdf,18 - Meeting Minutes & Public Body Records/11-06-2019 - Wexford_County_BOC_Minutes-5.pdf,11-06-2019,letterhead-date,high,
2019-11-06_Wexford_County_BOC_Minutes-6.pdf,18 - Meeting Minutes & Public Body Records/11-06-2019 - Wexford_County_BOC_Minutes-6.pdf,11-06-2019,letterhead-date,high,
2019-11-06_Wexford_County_BOC_Minutes.pdf,18 - Meeting Minutes & Public Body Records/11-06-2019 - Wexford_County_BOC_Minutes.pdf,11-06-2019,letterhead-date,high,
2019_POTW_Oversight_Table.pdf,12 - Wexford Landfill & Leachate/01-01-2019 - 2019_POTW_Oversight_Table.pdf,01-01-2019,first-date-on-page1,medium,
2019_SIU-CIU_List.pdf,03 - IPP (Industrial Pretreatment)/01-01-2019 - 2019_SIU-CIU_List.pdf,01-01-2019,filename-year,low,
2020-03-04__8908373584808793631__N3862_Full Compliance Evaluation_03-04-2020.pdf,12 - Wexford Landfill & Leachate/03-04-2020 - N3862_Full Compliance Evaluation_03-04-2020.pdf,03-04-2020,first-date-on-page1,medium,
2020-03-05__-5175835234877830126__N3862_On-Site Inspection_03-05-2020.pdf,12 - Wexford Landfill & Leachate/03-05-2020 - N3862_On-Site Inspection_03-05-2020.pdf,03-05-2020,letterhead-date,high,
2020-10-22 VN-011108 Cadillac WWTP (1).pdf,08 - Compliance & Enforcement/08-30-2019 - VN-011108 Cadillac WWTP.pdf,08-30-2019,issue-label:issued,high,
2020-10-22 VN-011108 Cadillac WWTP.pdf,08 - Compliance & Enforcement/08-30-2019 - VN-011108 Cadillac WWTP (copy 2).pdf,08-30-2019,issue-label:issued,high,"duplicate copy - kept both, suffixed"
2020-11-25 RE_ EGLE WRD VN-011108 Cadillac WWTP.pdf,08 - Compliance & Enforcement/11-25-2020 - RE_ EGLE WRD VN-011108 Cadillac WWTP.pdf,11-25-2020,email-sent-date (newest in chain),high,
2021 Alan Benson 30-01.pdf,05 - Biosolids & Land Application/09-27-2021 - 2021 Alan Benson 30-01.pdf,09-27-2021,first-date-on-page1,medium,
2021 Alan Benson 30-02.pdf,05 - Biosolids & Land Application/09-27-2021 - 2021 Alan Benson 30-02.pdf,09-27-2021,first-date-on-page1,medium,
2021 Alan Benson 30-03.pdf,05 - Biosolids & Land Application/09-27-2021 - 2021 Alan Benson 30-03.pdf,09-27-2021,first-date-on-page1,medium,
2021 Alan Benson 30-04.pdf,05 - Biosolids & Land Application/09-27-2021 - 2021 Alan Benson 30-04.pdf,09-27-2021,first-date-on-page1,medium,
2021 Fall Biosolids Pace.pdf,05 - Biosolids & Land Application/09-24-2021 - 2021 Fall Biosolids Pace.pdf,09-24-2021,letterhead-date,high,
2021-09-30 VN-012230 Cadillac WWTP.pdf,08 - Compliance & Enforcement/08-30-2019 - VN-012230 Cadillac WWTP.pdf,08-30-2019,issue-label:issued on,high,
2021-11-04 Follow-up to VN-012230 Extension Request - City of Cadillac.pdf,08 - Compliance & Enforcement/11-04-2021 - Follow-up to VN-012230 Extension Request - City of Cadillac.pdf,11-04-2021,letterhead-date,high,
2022 Spring Lab Data.pdf,05 - Biosolids & Land Application/05-17-2022 - 2022 Spring Lab Data.pdf,05-17-2022,OCR month/day + filename year,low,
2022-05-23 Follow-up to VN-012230 and VN-011108 - Cadillac WWTP.pdf,08 - Compliance & Enforcement/05-23-2022 - Follow-up to VN-012230 and VN-011108 - Cadillac WWTP.pdf,05-23-2022,letterhead-date,high,
2022-09-07-BOC-Packet.pdf,18 - Meeting Minutes & Public Body Records/09-07-2022 - BOC-Packet.pdf,09-07-2022,letterhead-date,high,
2025-11-06-Comparability-Study-Report-Cadillac.pdf,04 - PFAS Monitoring/11-06-2025 - Comparability-Study-Report-Cadillac.pdf,11-06-2025,filename-date,medium,
2025_05821_CustomQuestionnaire.pdf,20 - Personal & Non-Case Records/01-01-2025 - 2025_05821_CustomQuestionnaire.pdf,01-01-2025,filename-year,low,
2025_05821_Engagement Letter.pdf,20 - Personal & Non-Case Records/01-16-2026 - 2025_05821_Engagement Letter.pdf,01-16-2026,letterhead-date,high,
2025_05821_Organizer.pdf,20 - Personal & Non-Case Records/04-01-2025 - 2025_05821_Organizer.pdf,04-01-2025,first-date-on-page1,medium,
2026-02-02 Cadillac CWSRF WWTP Improvements FV Proposal.pdf,10 - Process & Site Documents/02-02-2026 - Cadillac CWSRF WWTP Improvements FV Proposal.pdf,02-02-2026,letterhead-date,high,
20N09W06-DI01.pdf,05 - Biosolids & Land Application/11-15-2019 - 20N09W06-DI01.pdf,11-15-2019,first-date-on-page1,medium,
21.03.Eff.AddlMonit.ERM.pdf,06 - Lab Results & Sampling (general)/03-25-2021 - 21.03.Eff.AddlMonit.ERM.pdf,03-25-2021,letterhead-date,high,
21.08.16.Eff.AddlMonit.Paragon.pdf,06 - Lab Results & Sampling (general)/08-30-2021 - 21.08.16.Eff.AddlMonit.Paragon.pdf,08-30-2021,letterhead-date,high,
21.08.16.Eff.AddlMonit.ParagonRepeat.pdf,06 - Lab Results & Sampling (general)/08-16-2021 - 21.08.16.Eff.AddlMonit.ParagonRepeat.pdf,08-16-2021,filename-YY.MM.DD (OCR unreliable),medium,
21.08.31.Eff.AddlMonit.MeritConfirm.pdf,06 - Lab Results & Sampling (general)/09-02-2021 - 21.08.31.Eff.AddlMonit.MeritConfirm.pdf,09-02-2021,issue-label:Submitted Date,high,
21.08.31.Eff.AddlMonit.ParagonRepeat.pdf,06 - Lab Results & Sampling (general)/09-03-2021 - 21.08.31.Eff.AddlMonit.ParagonRepeat.pdf,09-03-2021,letterhead-date,high,
21.08.Eff.AddlMonit.ERM.pdf,06 - Lab Results & Sampling (general)/09-03-2021 - 21.08.Eff.AddlMonit.ERM.pdf,09-03-2021,letterhead-date,high,
21.08.Eff.AddlMonit.Fibertec.pdf,06 - Lab Results & Sampling (general)/08-30-2021 - 21.08.Eff.AddlMonit.Fibertec.pdf,08-30-2021,issue-label:issued on,high,
210303.biosolids.PACE.pdf,05 - Biosolids & Land Application/03-18-2021 - 210303.biosolids.PACE.pdf,03-18-2021,letterhead-date,high,
210902.biosolids.HML.pdf,05 - Biosolids & Land Application/10-01-2021 - 210902.biosolids.HML.pdf,10-01-2021,letterhead-date,high,
21N08W30-AB01.pdf,05 - Biosolids & Land Application/11-15-2019 - 21N08W30-AB01.pdf,11-15-2019,first-date-on-page1,medium,
21N08W30-AB02.pdf,05 - Biosolids & Land Application/11-15-2019 - 21N08W30-AB02.pdf,11-15-2019,first-date-on-page1,medium,
21N08W30-AB03.pdf,05 - Biosolids & Land Application/11-15-2019 - 21N08W30-AB03.pdf,11-15-2019,first-date-on-page1,medium,
21N08W30-AB04.pdf,05 - Biosolids & Land Application/11-15-2019 - 21N08W30-AB04.pdf,11-15-2019,first-date-on-page1,medium,
21N09W25-AB01.pdf,05 - Biosolids & Land Application/11-15-2019 - 21N09W25-AB01.pdf,11-15-2019,first-date-on-page1,medium,
21N09W27-JR01.pdf,05 - Biosolids & Land Application/08-17-2020 - 21N09W27-JR01.pdf,08-17-2020,most-frequent-in-doc,low,
21N09W27-WR01.pdf,05 - Biosolids & Land Application/09-27-2021 - 21N09W27-WR01.pdf,09-27-2021,most-frequent-in-doc,low,
21n09w25-DG01.pdf,05 - Biosolids & Land Application/08-28-2024 - 21n09w25-DG01.pdf,08-28-2024,transmittal-letter-date,medium,
22.01.Inf.Eff.LLHg.Pace.pdf,06 - Lab Results & Sampling (general)/01-24-2022 - 22.01.Inf.Eff.LLHg.Pace.pdf,01-24-2022,letterhead-date,high,
22.04.Inf.Eff.LLHg.Pace.pdf,06 - Lab Results & Sampling (general)/05-11-2022 - 22.04.Inf.Eff.LLHg.Pace.pdf,05-11-2022,letterhead-date,high,
22.07.Inf.Eff.LLHg.Pace.pdf,06 - Lab Results & Sampling (general)/08-10-2022 - 22.07.Inf.Eff.LLHg.Pace.pdf,08-10-2022,letterhead-date,high,
22.10.Inf.Eff.LLHg.Pace.pdf,06 - Lab Results & Sampling (general)/10-21-2022 - 22.10.Inf.Eff.LLHg.Pace.pdf,10-21-2022,letterhead-date,high,
220308.biosolids.HML.pdf,05 - Biosolids & Land Application/04-13-2022 - 220308.biosolids.HML.pdf,04-13-2022,letterhead-date,high,
220308.biosolids.PACE.pdf,05 - Biosolids & Land Application/03-23-2022 - 220308.biosolids.PACE.pdf,03-23-2022,letterhead-date,high,
220328.Metals.biosolids.PACE.pdf,05 - Biosolids & Land Application/04-12-2022 - 220328.Metals.biosolids.PACE.pdf,04-12-2022,letterhead-date,high,
220908.biosolids.HML.pdf,05 - Biosolids & Land Application/09-29-2022 - 220908.biosolids.HML.pdf,09-29-2022,issue-label:Date Completed,high,
220908.biosolids.PACE(1).pdf,05 - Biosolids & Land Application/09-23-2022 - 220908.biosolids.PACE.pdf,09-23-2022,letterhead-date,high,
220922.biosolids.wHg.PACE.pdf,05 - Biosolids & Land Application/10-17-2022 - 220922.biosolids.wHg.PACE.pdf,10-17-2022,letterhead-date,high,
22N11W25-RBL03.pdf,05 - Biosolids & Land Application/08-28-2024 - 22N11W25-RBL03.pdf,08-28-2024,transmittal-letter-date,medium,
230413.biosolids.pathogens.HML.pdf,05 - Biosolids & Land Application/05-11-2023 - 230413.biosolids.pathogens.HML.pdf,05-11-2023,issue-label:Date Completed,high,
230928.biosolids.chem.PACE.RevRL.pdf,05 - Biosolids & Land Application/10-20-2023 - 230928.biosolids.chem.PACE.RevRL.pdf,10-20-2023,letterhead-date,high,
230928.biosolids.pathogens.HML.pdf,05 - Biosolids & Land Application/11-02-2023 - 230928.biosolids.pathogens.HML.pdf,11-02-2023,issue-label:Date Completed,high,
24.08.08.AMR.Trace.pdf,06 - Lab Results & Sampling (general)/08-16-2024 - 24.08.08.AMR.Trace.pdf,08-16-2024,letterhead-date,high,
24.08.08.AMR.Trace.rev.pdf,06 - Lab Results & Sampling (general)/03-24-2026 - 24.08.08.AMR.Trace.rev.pdf,03-24-2026,letterhead-date,high,
240401.biosolids.chem.PACE.pdf,05 - Biosolids & Land Application/04-16-2024 - 240401.biosolids.chem.PACE.pdf,04-16-2024,letterhead-date,high,
240401.biosolids.pathogens.HML.pdf,05 - Biosolids & Land Application/04-25-2024 - 240401.biosolids.pathogens.HML.pdf,04-25-2024,issue-label:Date Completed,high,
241003.biosolids.chem.PACE.pdf,05 - Biosolids & Land Application/10-18-2024 - 241003.biosolids.chem.PACE.pdf,10-18-2024,letterhead-date,high,
241003.biosolids.pathogens.HML.pdf,05 - Biosolids & Land Application/10-31-2024 - 241003.biosolids.pathogens.HML.pdf,10-31-2024,issue-label:Date Completed,high,
25.05.22.AMR.Trace.pdf,06 - Lab Results & Sampling (general)/06-04-2025 - 25.05.22.AMR.Trace.pdf,06-04-2025,letterhead-date,high,
25.05.22.AMR.Trace.rev.pdf,06 - Lab Results & Sampling (general)/03-24-2026 - 25.05.22.AMR.Trace.rev.pdf,03-24-2026,letterhead-date,high,
250317.biosolids.chem.PACE.pdf,05 - Biosolids & Land Application/04-01-2025 - 250317.biosolids.chem.PACE.pdf,04-01-2025,letterhead-date,high,
250317.biosolids.pathogens.HML.pdf,05 - Biosolids & Land Application/04-17-2025 - 250317.biosolids.pathogens.HML.pdf,04-17-2025,letterhead-date,high,
26.01.07.Benzidine.BM.CN.Trace.rev.pdf,06 - Lab Results & Sampling (general)/03-19-2026 - 26.01.07.Benzidine.BM.CN.Trace.rev.pdf,03-19-2026,letterhead-date,high,
26.02.04.Benzidine.CN.Trace.rev.pdf,06 - Lab Results & Sampling (general)/02-27-2026 - 26.02.04.Benzidine.CN.Trace.rev.pdf,02-27-2026,letterhead-date,high,
