tier,action,category,path,size_bytes,size_MB,why
1,"DELETE - software, not records","Claude app binaries (claude-code, claude-code-vm)","16 - Apps, Scripts & Working Data/All Documents/Claude/claude-code-vm/.sdk-version",7,0.0,Claude Desktop program files - application software
1,"DELETE - software, not records","Claude app binaries (claude-code, claude-code-vm)","16 - Apps, Scripts & Working Data/All Documents/Claude/claude-code-vm/2.1.142/.verified",0,0.0,Claude Desktop program files - application software
1,"DELETE - software, not records","Claude app binaries (claude-code, claude-code-vm)","16 - Apps, Scripts & Working Data/All Documents/Claude/claude-code-vm/2.1.142/claude",232625872,232.626,Claude Desktop program files - application software
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/data_0",376832,0.377,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/data_1",4988928,4.989,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/data_2",38805504,38.806,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/data_3",20979712,20.98,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000001",18060,0.018,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000002",70384,0.07,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000003",542014,0.542,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000004",117352,0.117,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000005",164732,0.165,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000006",2280046,2.28,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000007",45009,0.045,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000008",35169,0.035,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000009",16676,0.017,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00000b",19533,0.02,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00000c",28982,0.029,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00000d",154276,0.154,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00000e",51859,0.052,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00000f",22061,0.022,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000012",196312,0.196,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000013",146605,0.147,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000014",97462,0.097,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000015",62558,0.063,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000016",105919,0.106,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000017",92464,0.092,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00001a",30362,0.03,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00001b",59884,0.06,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00001c",93871,0.094,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00001d",148724,0.149,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000021",80352,0.08,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000022",21600,0.022,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000023",71424,0.071,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000025",158537,0.159,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000026",150796,0.151,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000028",20317,0.02,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000029",29058,0.029,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00002b",196327,0.196,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00002e",75750,0.076,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000030",26179,0.026,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000031",61528,0.062,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000032",61144,0.061,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000034",22756,0.023,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000035",17790,0.018,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000036",45858,0.046,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000037",1197077,1.197,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000038",54364,0.054,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000039",25137,0.025,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00003a",205730,0.206,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00003b",52978,0.053,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00003c",30918,0.031,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00003d",44434,0.044,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00003e",69123,0.069,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00003f",131592,0.132,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000040",21024,0.021,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000041",22890,0.023,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000042",707356,0.707,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000045",66696,0.067,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00004a",18331,0.018,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00004c",70491,0.07,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00004d",2277229,2.277,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00004e",542521,0.543,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000050",31797,0.032,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000051",23014,0.023,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000052",148723,0.149,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000053",94011,0.094,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000054",59885,0.06,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000059",196730,0.197,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00005a",39976,0.04,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00005b",83723,0.084,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00005c",67512,0.068,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00005d",72422,0.072,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00005e",535181,0.535,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00005f",2288021,2.288,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000061",31788,0.032,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000062",94379,0.094,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000063",162357,0.162,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000064",61481,0.061,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000067",81524,0.082,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00006a",256862,0.257,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00006c",146597,0.147,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00006d",197081,0.197,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000af",50340,0.05,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000b2",132341,0.132,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000b4",197103,0.197,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000b7",32427,0.032,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000b8",31483,0.031,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000b9",91154,0.091,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000ba",100887,0.101,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000bb",105349,0.105,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000bc",53318,0.053,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000bd",60800,0.061,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000be",2301480,2.301,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000bf",14737657,14.738,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000c3",32811,0.033,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000c4",20293,0.02,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000c6",192335,0.192,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000c7",316129,0.316,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000c9",23153,0.023,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000ca",73300,0.073,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000cb",1197170,1.197,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000d0",33654,0.034,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000d1",30966,0.031,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000d2",18802,0.019,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000d3",19064,0.019,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000e2",220159,0.22,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000e6",20580,0.021,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000e7",31708,0.032,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000e8",19856,0.02,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000fa",30972,0.031,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_0000fc",28104,0.028,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000102",247280,0.247,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000104",120737,0.121,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000106",35292,0.035,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000107",31190,0.031,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000108",38196,0.038,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000109",50768,0.051,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00010d",77868,0.078,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00010e",72484,0.072,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_00010f",526594,0.527,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000110",2322030,2.322,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000111",36760,0.037,Browser/Electron cache - regenerated automatically by the app
1,"DELETE - software, not records",Claude browser/Electron caches,"16 - Apps, Scripts & Working Data/All Documents/Claude/Cache/Cache_Data/f_000112",22298,0.022,Browser/Electron cache - regenerated automatically by the app
