file,page,category,context
2012-03-26__-4772999631657362957__Cadillac WWTP Mercury Tests.pdf.pdf,7,effluent_exceedance,"ated © under the ""Comments"" heading, all tests were performed within the maximum - allowable holding times, have met or exceeded QC requirements and the result © represents the sample as it was received. If a sample was identified as drinking . water under the Safe Drinking Water Act, the ""Comments"" column may also - contain federal drinking water information includ"
2012-03-26__-4772999631657362957__Cadillac WWTP Mercury Tests.pdf.pdf,9,effluent_exceedance,"tated ""under the ""Comments"" heading, all tests were performed within the maximum - allowable holding times, have met or exceeded QC requirements and the result © represents the sample as it was received. If a sample was identified as drinking © water under the Safe Drinking Water Act, the ""Comments"" column may also - contain federal drinking water information includ"
2012-03-26__-4772999631657362957__Cadillac WWTP Mercury Tests.pdf.pdf,11,effluent_exceedance,"tated ""under the ""Comments"" heading, all tests were performed within the maximum . allowable holding times, have met or exceeded QC requirements and the result © represents the sample as it was received. If a sample was identified as drinking . water under the Safe Drinking Water Act, the ""Comments"" column may also - contain federal drinking water information includ"
2012-03-26__-605910068122278034__Cadillac WWTP Septage Information.pdf.pdf,1,enforcement,the program: Sewer Use Ordinance 2001 Interjurisdictional Agreements 1968 Procedures ~~ 1995 Other Legal Authority 1995 Enforcement Response Plan ~~ 1995 Local Limits ~~ 1995 3 No. 14 EQP 4658-C (Rev. 3/2011)
2012-03-26__-605910068122278034__Cadillac WWTP Septage Information.pdf.pdf,1,pfas,"pace provided below. Wastewater Type Voiume (MGD) Wastewater Type Volume (MGD} Industrial Process Wastewater 210.000 &X Landfill Leachate 33.600 Contact Cooling Water 288,000 [J Trucked industrial Wastewater JE {J Noncontact Cooling Water 288,000 OJ Other: G. Is an Industrial Pretreatment Program (IPP) currently required by the DEQ? Note: Applicants with an IPP are"
2012-03-26__-605910068122278034__Cadillac WWTP Septage Information.pdf.pdf,1,pretreatment,"ility accept septage? [J Yes. On a separate sheet, describe the allocation of the Maximum Allowable Headworks Loading (MAHL) capacity fo domestic wastewater, nondomestic wastewater, and septage. The MAHL shouid include the treatment plant's design and current foading and, at a minimum, the number of gallons and concentrations of the pollutants BOD, TSS, POs, an"
2012-03-26__-605910068122278034__Cadillac WWTP Septage Information.pdf.pdf,2,pfas,als handled under the following practices: Amount generated at the facility: 291.5 Amount sent to municipal solid waste landfill: Amount received from off-site: [4] Amount sold or given away in a bag or other Q il icati the land: Amount treated on-site (including blending): 291.5 container for application to the lan ther POTW: 4} Amount used or disposed of by anothe
2012-03-26__-605910068122278034__Cadillac WWTP Septage Information.pdf.pdf,5,effluent_exceedance,"ated + under the ""Comments"" heading, all tests were performed within the maximum * allowable holding times, have met or exceeded QC requirements and the result . represents the sample as it was received. If a sample was identified as drinking + water under the Safe Drinking Water Act, the ""Comments"" column may also © contain federal drinking water information includ"
2012-03-26__-605910068122278034__Cadillac WWTP Septage Information.pdf.pdf,7,effluent_exceedance,"ted + under the ""Comments"" heading, all tests were performed within the maximum ""allowable holding times, have met or exceeded QC requirements and the result . represents the sample as it was received. If a sample was identified as drinking + water under the Safe Drinking Water Act, the ""Comments"" column may also © contain federal drinking water information inc"
2012-03-26__-605910068122278034__Cadillac WWTP Septage Information.pdf.pdf,9,effluent_exceedance,"ated + under the ""Comments"" heading, ali tests were performed within the maximum © allowable holding times, have met or exceeded QC requirements and the result . represents the sample as it was received. If a sample was identified as drinking + water under the Safe Drinking Water Act, the ""Comments"" column may also . contain federal drinking water information includ"
2012-03-26__-605910068122278034__Cadillac WWTP Septage Information.pdf.pdf,11,effluent_exceedance,"stated under the ""Comments"" heading, all tests were performed within the maximum © allowable holding times, have met or exceeded QG requirements and the result . represents the sample as it was received. If a sample was identified as drinking + water under the Safe Drinking Water Act, the ""Comments"" column may also ""contain federal drinking water information includi"
2012-03-26__-605910068122278034__Cadillac WWTP Septage Information.pdf.pdf,13,effluent_exceedance,"tated - under the ""Comments"" heading, all tests were performed within the maximum ""allowable holding times, have met or exceeded QC requirements and the result . represents the sample as it was received. If a sample was identified as drinking + water under the Safe Drinking Water Act, the ""Comments"" column may also ""contain federal drinking water information includi"
2012-03-26__-6207937354821693834__Cadillac WWTP Fish Toxicity Tests.pdf.pdf,2,effluent_exceedance,"NY DEVIATIONS FROM TEST METHODS (For example, pH-controlled test, reduced DO levels in test leading to aeration, sample exceeded hold time.) NA 26. EFFLUENT FILTERED? 27. STATE MESH SIZE OF FILTER {if filtered) No N/A 28. EFFLUENT SAMPLE TYPE: 20, IDENTIFY THE DILUENT (01) Sample 1; 24-Hour Composite MHW Sample 2: 24-Hour Composite IDENTIFY THE SECONDARY (02) Sample"
2012-03-26__-6207937354821693834__Cadillac WWTP Fish Toxicity Tests.pdf.pdf,12,effluent_exceedance,"NY DEVIATIONS FROM TEST METHODS (For example, pH-controlled test, reduced DO levels in test leading to aeration, sample exceeded holding time.) 23. EFFLUENT FILTERED? 24. STATE MESH SIZE (TF FILTER (if filtered) | ©OveEs Xwo 25. EFFLUENT SAMPLE TYPE {check one lype for each sample) 26. IDENTIFY THE DILUENT fi (01) CONTROL | Sample 1: X 24-HR COMPOSITE O GRAB/COMPOSI"
2012-03-26__-7021570928602701902__Cadillac WWTP Application.pdf.pdf,2,pfas,"cal Unit of Government (LUG) LUG e-mail address a City of Cadillac utllities@cadillac-mi.net i) i g [County Township Co Wexford Hairing BCAA C7 c Town Range Section iA Yi, 4 Private (French) Land Claim © j22N ww 33 NE NE free iy ~ b. Latitude Longitude Void i * [N4415.118 W085 23.856 . |8 CERTIFIED OPERATOR Does the facility have a DEQ-cerfified operator? Yes [0 No"
2012-03-26__-7021570928602701902__Cadillac WWTP Application.pdf.pdf,7,pretreatment,"n flow rate greater than or equal to one (1) milion gallons per day {MGD); 2) POTWs with an approved Federal Industrial Pretreatment Program (FIPP); and/or 3) POTWSs required to develop a FIPP. The results of the tests shall be reported using the Acute Toxicity Test Report, Ceriodaphnia dubia Chronic Toxicity Test Report, and the Fathead Minnow Chronic Toxicity Test Rep"
2012-03-26__-7021570928602701902__Cadillac WWTP Application.pdf.pdf,8,pfas,"on Page 3 of the Appendix. A Receiving Water TT Hydrologic Unit Code (HUC) ""| Cliam River 04060102 8 County Township ""| Wexford Hairing c Town Range Section Ya Ya, Va Private (French) Land Claim ""| 2am 09w 33 NE NE A b Latitude Longitude © N4415.949 W085 23,869 E. Facility Annual Average Design Flow: Seasonal Discharge: MGY (Continue with lem F.) Continuous Dischar"
2012-03-26__-7021570928602701902__Cadillac WWTP Application.pdf.pdf,10,pretreatment,"LLUTANTS Existing POTWSs with (1) a design flow greater than or equal to 1.0 MGD; or (2) an approved Federal Industrial Pretreatment Program (FIPP); or (3) required to develop a FIPP or otherwise required by the permitting authority, shall provide the results of a minimum of three effluent analyses for each parameter listed below for each outfall through which effluent"
2012-03-26__2606761043345214758__Cadillac WWTP SIU Information.pdf.pdf,1,pretreatment,ic Wastewater Information PLEASE TYPE OR PRINT FACILITY NAME NPDES PERMIT NUMBER Cadillac WWTP MI0020257 5. SIGNIFICANT INDUSTRIAL USER (SIU) INFORMATION Supply the following information for each SIU that discharges to the treatment plant. Make additional copies of this page when necessary. A. SIU location information Company Avon Automotives - Permit # 590-08 Facility Add
2012-03-26__2606761043345214758__Cadillac WWTP SIU Information.pdf.pdf,2,pretreatment,c Wastewater Information PLEASE TYPE OR PRINT FACILITY NAME NPDES PERMIT NUMBER Cadillac WWTP MI10020257 5. SIGNIFICANT INDUSTRIAL USER (SIU) INFORMATION Supply the following information for each SIU that discharges to the treatment plant. Make additional copies of this page when necessary. A. SIU location information Company Cadillac Castings Inc. - Permit # 590-11 Facili
2012-03-26__2606761043345214758__Cadillac WWTP SIU Information.pdf.pdf,3,pretreatment,ic Wastewater Information PLEASE TYPE OR PRINT FACILITY NAME NPDES PERMIT NUMBER Cadillac WWTP MI0020257 5. SIGNIFICANT INDUSTRIAL USER (SiU) INFORMATION Supply the following information for each SIU that discharges to the treatment plant. Make additional copies of this page when necessary. A. SIU location information Company AAR Cadillac Manufacturing - Permit # 590-01 Fa
2012-03-26__2606761043345214758__Cadillac WWTP SIU Information.pdf.pdf,4,pfas,charges to the treatment plant. Make additional copies of this page when necessary. A. SiU location information Company Wexford County Landfill LLC - Permit # 580 -13 Facility Address 990 US. 131 N. City State ZJP Code Cadillac Mi 49801 8. Describe all of the industrial processes that affect or contribute to the SIU's discharge. - C. Describe all of the principal p
2012-03-26__2606761043345214758__Cadillac WWTP SIU Information.pdf.pdf,4,pretreatment,ic Wastewater information PLEASE TYPE OR PRINT FACILITY NAME NPDES PERMIT NUMBER Cadillac WWTP MI0020257 5. SIGNIFICANT INDUSTRIAL USER (SIU) INFORMATION Supply the following information for each SIU that discharges to the treatment plant. Make additional copies of this page when necessary. A. SiU location information Company Wexford County Landfill LLC - Permit # 580 -13
2012-03-26__2606761043345214758__Cadillac WWTP SIU Information.pdf.pdf,5,pretreatment,ic Wastewater Information PLEASE TYPE OR PRINT FACILITY NAME NPDES PERMIT NUMBER Cadillac WWTP M10020257 5. SIGNIFICANT INDUSTRIAL USER (SIU) INFORMATION Supply the following information for each SIU thal discharges to the treatment plant. Make additional coples of this page when necessary. A. SlU location information Company Mercy Hospital - Permit # 590-16 Facility Addre
2012-03-26__2606761043345214758__Cadillac WWTP SIU Information.pdf.pdf,6,pretreatment,ic Wastewater information PLEASE TYPE OR PRINT FACILITY NAME NPDES PERMIT NUMBER Cadillac WWTP MI0020257 5. SIGNIFICANT INDUSTRIAL USER (SIU) INFORMATION Supply the following information for each SIU that discharges to the treatment plant. Make additional copies of this page when necessary. A. SIU location information Company Borg Warner - Permit # 590-02 Facility Address
2012-03-26__2606761043345214758__Cadillac WWTP SIU Information.pdf.pdf,7,pretreatment,ic Wastewater Information PLEASE TYPE OR PRINT FACILITY NAME NPDES PERMIT NUMBER Cadillac WWTP MI0020257 5. SIGNIFICANT INDUSTRIAL USER (SIU) INFORMATION Supply the following information for each SIU that discharges to the treatment plant. Make additional copies of this page when necessary. A. SIU location information Company Michigan Rubber - Permit # 590-05 Facility Addr
2012-03-26__2606761043345214758__Cadillac WWTP SIU Information.pdf.pdf,8,pretreatment,ic Wastewater Information PLEASE TYPE OR PRINT FACILITY NAME NPDES PERMIT NUMBER Cadillac WWTP MI0020257 5. SIGNIFICANT INDUSTRIAL USER (SIU) INFORMATION Supply the following information for each SIU that discharges to the treatment plant. Make additional copies of this page when necessary. A. SIU location information Company Piranha Hose inc. - Permit # 530 - 19 Facility
2012-03-26__2606761043345214758__Cadillac WWTP SIU Information.pdf.pdf,9,pretreatment,"ic Wastewater Information PLEASE TYPE OR PRINT FACILITY NAME NPDES PERMIT NUMBER Cadillac WATP MI0020257 5. SIGNIFICANT INDUSTRIAL USER (SIU} INFORMATION Supply the following information for each SIU that discharges to the treatment plant. Make additional copies of this page when necessary. A. SHU location information Company Rec Boat Holdings Trailer Plant (formerly, Four"
2012-03-26__2606761043345214758__Cadillac WWTP SIU Information.pdf.pdf,10,pretreatment,ic Wastewater Information PLEASE TYPE OR PRINT FACILITY NAME NPDES PERMIT NUMBER Cadillac WWTP MI0020257 5. SIGNIFICANT INDUSTRIAL USER (SIU) INFORMATION Supply the following information for each SiU that discharges to the treatment plant. Make additional copies of this page when necessary. A. SIU location information Company Paulstra CRC - Permit # 590 - 63 Faclfity Addre
2012-03-26__2606761043345214758__Cadillac WWTP SIU Information.pdf.pdf,11,pretreatment,ic Wastewater Information PLEASE TYPE OR PRINT FACILITY NAME NPDES PERMIT NUMBER Cadillac WNTP MI0020257 5. SIGNIFICANT INDUSTRIAL USER (SIU) INFORMATION Supply the following information for each SIU that discharges to the treatment plant. Make additional copies of this page when necessary. A. SIU location information Company Fiamm Technologies Inc - Permit # 530 -18 Facil
2012-03-26__4716295422139915510__Cadillac WWTP Test Results.pdf.pdf,1,effluent_exceedance,"ated . under the ""Comments"" heading, all tests were performed within the maximum - allowable holding times, have met or exceeded QC requirements and the result © represents the sample as it was received. If a sample was identified as drinking . water under the Safe Drinking Water Act, the ""Comments"" column may also - contain federal drinking water information includ"
2012-03-26__4716295422139915510__Cadillac WWTP Test Results.pdf.pdf,6,effluent_exceedance,"tated ""under the ""Comments"" heading, all tests were performed within the maximum . allowable holding times, have met or exceeded QC requirements and the result © represents the sample as it was received. If a sample was identified as drinking ""water under the Safe Drinking Water Act, the ""Comments"" column may also - contain federal drinking water information includi"
2012-03-26__4716295422139915510__Cadillac WWTP Test Results.pdf.pdf,10,effluent_exceedance,"ated © under the ""Comments"" heading, all tests were performed within the maximum - allowable holding times, have met or exceeded QC requirements and the resuit © represents the sample as it was received. If a sample was identified as drinking - water under the Safe Drinking Walter Act, the ""Commenis"" column may also - contain federal drinking water information inclu"
2012-03-26__4716295422139915510__Cadillac WWTP Test Results.pdf.pdf,14,effluent_exceedance,"tated ""under the ""Comments"" heading, all tests were performed within the maximum - allowable holding times, have met or exceeded QC requirements and the result . © represents the sample as it was received. If a sample was identified as drinking . water under the Safe Drinking Water Act, the ""Comments"" column may also - contain federal drinking water information incl"
2012-03-26__4716295422139915510__Cadillac WWTP Test Results.pdf.pdf,18,effluent_exceedance,"tated ""under the ""Comments"" heading, all tests were performed within the maximum . allowable holding times, have met or exceeded QC requirements and the resuit © represents the sample as it was received. If a sample was identified as drinking ""water under the Safe Drinking Water Act, the ""Comments"" column may also . contain federal drinking water information includi"
2012-03-26__4716295422139915510__Cadillac WWTP Test Results.pdf.pdf,20,effluent_exceedance,"tated ""under the ""Comments"" heading, all tests were performed within the maximum . allowable holding times, have met or exceeded QC requirements and the result © represents the sample as it was received. If a sample was identified as drinking ""water under the Safe Drinking Water Act, the ""Comments"" column may also . contain federal drinking water information includi"
2012-03-26__4716295422139915510__Cadillac WWTP Test Results.pdf.pdf,22,effluent_exceedance,"tated ""under the ""Comments"" heading, all tests were performed within the maximum . allowable holding times, have met or exceeded QC requirements and the result © represents the sample as il was received. If a sample was identified as drinking ""water under the Safe Drinking Water Act, the ""Comments"" column may also . contain federal drinking water information includi"
2012-03-26__4716295422139915510__Cadillac WWTP Test Results.pdf.pdf,24,effluent_exceedance,"ated _ under the ""Comments"" heading, all tests were performed within the maximum . allowable holding times, have met or exceeded QC requirements and the result © represents the sample as it was received. If a sample was identified as drinking water under the Safe Drinking Water Act, the ""Comments"" column may also - contain federal drinking water information includin"
2012-04-11__2907549657209812738__Cadillac WWTP NEC.pdf.pdf,1,pfas,"E) N44 15.949 W085 23.869 231-779-7346 NE % of NE % Section: 33, Town: T22N . Range: ROSW » Township: Haiting . County: Wexford . —_—m— PRIMARY STANDARD INDUSTRIAL CLASSIFICATION (SIc)coDE |] TO DETERMINE THE PRIMARY INDUSTRIAL ACTIVITY, USE THE VALUE OF NET REVENUES. iF SUCH INFORMATION IS NOT AVAILABLE FOR A PARTICULAR FACILITY, THE NUMBER OF EMPLOYEES CR PRODUCT"
2012-11-09__-2587941060086653778__WQBEL Memo - Conventionals.doc.pdf,1,effluent_exceedance,"riculture, navigation, industrial water supply, and public water supply at the point of intake. The monthly 50% and 95% exceedance flows, in cfs, for the Clam River at this location are as follows (HSDSU #8068): JAN. FEB. MAR. APR. MAY JUNE 95% 4.6 4.3 8.1 12 6.3 3.7 50% 16 15 34 73 31 11 JULY AUG. SEP. OCT. NOV. DEC. 95% 2.7 2.8 2.9 3.4 5."
2012-11-09__-2587941060086653778__WQBEL Memo - Conventionals.doc.pdf,1,pfas,"ic feet per second (cfs)) of treated municipal wastewater to the Clam River (NE 1/4, NE 1/4, Section 33, R9W, T22N) in Wexford County. The Haring Township WWTP is a new continuous discharge of 0.135 MGD (0.21 (cfs) of treated municipal wastewater to the Clam River (NE 1/4, NW 1/4, Section 27, R9W, T22N) in Wexford County. The Clam River is protected for warmw"
2013-04-18__-8853155827505618463__WQBEL Memo - Toxics.doc.pdf,1,effluent_exceedance,"allons per day (MGD) of treated municipal wastewater to the Clam River via outfall 001. The lowest monthly 95 percent exceedance, harmonic mean, and 90-day 10-year flows for Clam River upstream of outfall 001 are 2.7, 13, and 3.3 cubic feet per second (cfs), respectively. Sources of information used for this review to develop the water quality based effluent l"
2013-04-18__-8853155827505618463__WQBEL Memo - Toxics.doc.pdf,2,effluent_exceedance,ter (ng/l). These data indicate there is a reasonable potential for total mercury to be discharged at concentrations exceeding Michigan Water Quality Standards (WQS) in the outfall 001 final effluent. We recommend the draft permit include a level currently achievable total mercury final effluent limit of 2.0 ng/l (0.00005 lbs/day). Compliance with these li
2013-05-02__8407029926974047625__CadillacWWTP_FS.pdf.pdf,1,effluent_exceedance,"the outfall 001 final effluent since January 2008 ranged from 5.5 to 8.7 S.U., averaging 7.3 S.U. There were periodic exceedances of the daily minimum pH final effluent limitation. Based on this information, we recommend the draft permit retain the current limits and monitoring requirements for pH. a. These limits will allow the receiving water body to maintain"
2013-05-02__8407029926974047625__CadillacWWTP_FS.pdf.pdf,1,pfas,"DES permit reissuance application in March 2012 for the Cadillac WWTP. The facility is located in Cadillac, Michigan, Wexford County. The current NPDES permit was issued on September 5, 2008, effective on November 1, 2008, and is scheduled to expire on October 1, 2012. The current NPDES permit authorizes to continuously discharge a maximum of 3.2 million gallo"
2013-05-02__8407029926974047625__CadillacWWTP_FS.pdf.pdf,1,pretreatment,"each that is not designated as a coldwater stream. The NPDES permit application includes information about several Industrial Users discharging to the Cadillac WWTP. Sources Sources of information used for this review to develop the water quality-based effluent limits (WQBELs) include the facility’s NPDES permit reissuance application, the Permits Section Toxic"
2013-05-02__8407029926974047625__CadillacWWTP_FS.pdf.pdf,2,effluent_exceedance,"(ug/l). Based on this data, there is not a reasonable potential for total selenium to be discharged at concentrations exceeding Michigan WQS. We recommend the draft permit remove the quarterly monitoring requirement for total selenium. 7) The current NPDES permit includes a quarterly monitoring requirement for available cyanide with samples collected as g"
2013-05-02__8407029926974047625__CadillacWWTP_FS.pdf.pdf,4,effluent_exceedance,A #N/A #N/A #N/A #N/A #N/A 0 #N/A #N/A #N/A #N/A #N/A #N/A #N/A #N/A #N/A #N/A #N/A #N/A # = Carcinogen ** = Background exceeds standards. REASONABLE POTENTIAL: CHEMICAL SPECIFIC (p. 1 of 2) Water Quality ValuesParameter CAS # PELSHEET.XLS 5/97
2013-05-17__-4758370497540417923__Application Compliance Comments.doc.pdf,1,enforcement,"uent limit compliance, IPP compliance, storm water compliance, etc.) If the facility’s application should be put on “enforcement hold,” do that in NMS on the Supplication Maintenance screen. Explain the facility’s noncompliance, our planned actions to bring the facility into compliance, and a corresponding timetable. [Note to compliance staff: Please make sure"
2013-05-17__-4758370497540417923__Application Compliance Comments.doc.pdf,1,effluent_exceedance,"n should be put on “enforcement hold,” do that in NMS on the Supplication Maintenance screen. Explain the facility’s noncompliance, our planned actions to bring the facility into compliance, and a corresponding timetable. [Note to compliance staff: Please make sure that all NMS SOCs are kept current for this facility.] The facility had a couple of instances of mi"
2013-05-20__8273775742265584790__Permit Template - Municipal.doc.pdf,5,effluent_exceedance,"ing laboratory. Such validation shall be submitted to the Department upon request. 1) When monitoring shows persistent exceedance of the 1.1 TUC limit for effluent toxicity, the Department will determine whether the permittee must implement the toxicity control program requirements specified in 2) below. 2) Upon written notification by the Department, the following"
2013-05-20__8273775742265584790__Permit Template - Municipal.doc.pdf,8,effluent_exceedance,"rtment. The testing shall be done at locations specified by each affected local county health department but shall not exceed 10 tests for each separate discharge event. The affected local county health department may waive this testing requirement, if it determines that such testing is not needed to assess the risk to the public health as a result of the disc"
2013-05-20__8273775742265584790__Permit Template - Municipal.doc.pdf,13,enforcement,"ave the legal authority and necessary interjurisdictional agreements that provide the basis for the implementation and enforcement of the approved Michigan Industrial Pretreatment Program throughout the service area. The legal authority and necessary interjurisdictional agreements shall include, at a minimum, the authority to carry out the activities specified in R"
2013-05-20__8273775742265584790__Permit Template - Municipal.doc.pdf,13,pretreatment,"PERMIT NO. MI0020257 Page 13 of 30 PART I Section C. Industrial Waste Pretreatment Program 1. Michigan Industrial Pretreatment Program a. The permittee shall implement the Michigan Industrial Pretreatment Program approved on July 23, 1985, and any subsequent modifications approved up to the issuance of this permit. b."
2013-05-20__8273775742265584790__Permit Template - Municipal.doc.pdf,14,enforcement,higan Industrial Pretreatment Program. This period of retention shall be extended during the course of any unresolved enforcement action or litigation regarding a nondomestic user or when requested by the Department or the United States Environmental Protection Agency. All of the aforementioned records and information shall be made available upon request for inspe
2013-05-20__8273775742265584790__Permit Template - Municipal.doc.pdf,14,effluent_exceedance,rmit at any time during the reporting period; 6) a listing of the names of categorical industrial users in significant noncompliance for each of the criteria defined in Rule 323.2302(dd)(i)-(viii); 7) proof of publication of all categorical industrial users in significant noncompliance in the largest daily newspaper in the municipality in which the permittee is loca
2013-05-20__8273775742265584790__Permit Template - Municipal.doc.pdf,14,pretreatment,PERMIT NO. MI0020257 Page 14 of 30 PART I Section C. Industrial Waste Pretreatment Program j. The permittee shall not implement changes or modifications to the approved Michigan Industrial Pretreatment Program without notification to the Department. k. The permittee shall maintain an adequate revenue structure and staff
2013-05-20__8273775742265584790__Permit Template - Municipal.doc.pdf,15,enforcement,PERMIT NO. MI0020257 Page 15 of 30 PART I Section C. Industrial Waste Pretreatment Program 8) a summary of the enforcement activities by the permittee during the report period. This Summary shall include: a) a listing of the names of nondomestic users which were the subject of an enforcement action; b) the enforcement action taken and the date the action was
2013-05-20__8273775742265584790__Permit Template - Municipal.doc.pdf,15,pretreatment,PERMIT NO. MI0020257 Page 15 of 30 PART I Section C. Industrial Waste Pretreatment Program 8) a summary of the enforcement activities by the permittee during the report period. This Summary shall include: a) a listing of the names of nondomestic users which were the subject of an enforcement action; b) the enforcement
2013-05-20__8273775742265584790__Permit Template - Municipal.doc.pdf,16,pfas,"The approved RMP, and any approved modifications thereto, are enforceable requirements of this permit. Incineration, landfilling and other residual disposal activities shall be conducted in accordance with Part II.D.7. of this permit. The Part 24 Rules can be obtained via the internet (http://www.michigan.gov/deq/ and on the left side of the screen click on Wa"
2013-05-20__8273775742265584790__Permit Template - Municipal.doc.pdf,16,pretreatment,"a the internet (http://www.michigan.gov/deq/ and on the left side of the screen click on Water, Biosolids & Industrial Pretreatment, Biosolids then click on Biosolids laws and Rules Information which is under the Laws & Rules banner in the center of the screen). a. Annual Report On or before October 30 of each year, the permittee shall submit to the Biosolids Prog"
2013-05-20__8273775742265584790__Permit Template - Municipal.doc.pdf,19,pretreatment,"t, reading, value or observation must be reported for that period if a discharge occurs during that period. National Pretreatment Standards are the regulations promulgated by or to be promulgated by the Federal Environmental Protection Agency pursuant to Section 307(b) and (c) of the Federal Act. The standards establish nationwide limits for specific industrial ca"
2013-05-20__8273775742265584790__Permit Template - Municipal.doc.pdf,20,pretreatment,"r is the Region 5 Administrator, U.S. EPA, located at R-19J, 77 W. Jackson Blvd., Chicago, Illinois 60604. Significant industrial user is a nondomestic user that: 1) is subject to Categorical Pretreatment Standards under 40 CFR 403.6 and 40 CFR Chapter I, Subchapter N; or 2) discharges an average of 25,000 gallons per day or more of process wastewater to a POTW (excludi"
2013-05-20__8273775742265584790__Permit Template - Municipal.doc.pdf,24,enforcement,"ed by upset, and before an action for noncompliance, is final administrative action subject to judicial review. In any enforcement proceedings, the permittee, seeking to establish the occurrence of an upset, has the burden of proof."
2013-05-20__8273775742265584790__Permit Template - Municipal.doc.pdf,24,effluent_exceedance,"PERMIT NO. MI0020257 Page 24 of 30 PART II Section C. Reporting Requirements 6. Noncompliance Notification Compliance with all applicable requirements set forth in the Federal Act, Parts 31 and 41 of the Michigan Act, and related regulations and rules is required. All instances of noncompliance shall be reported as follows: a. 24"
