record_no,category,date_or_period,document_title,record_id_or_locator,pages,status,direct_relevance,key_evidence_or_reason,source_report_page,priority,notes,url
11,Air profile N3862,2014-2017,Three additional in-period air inspection/evaluation PDFs,Exact titles and IDs omitted from history report,Unknown,Existence reported; identifiers absent,Lead,The history report says six in-period air PDFs were recovered but individually names only three.,2,High,"Retrieve the N3862 2014, 2015, and 2017 record list and reconcile all six files.",
12,Onsite leachate disposal,2016-03-09,Leachate Request,-1083339404412472014,3,Identified by MiEnviro record ID,Direct,Lagoon constructed in 2015; emergency groundwater discharge request; mobile atomizer intended to eliminate sending leachate to a WWTP; liquid estimated 90% precipitation and 10% leachate.,2,High,,https://mienviro.michigan.gov/ncore/DownloadPdf/-1083339404412472014
13,Onsite leachate disposal,2016-06-01,Groundwater Discharge Permit Application,8483964851346980810,11,Identified by MiEnviro record ID,Direct,"Applicant Wexford County Landfill LLC; PTS Consulting LLC operator certification; proposes up to 50,400 gpd and 2,000,000 gallons/year by aeration and land application/overland flow.",3,High,,https://mienviro.michigan.gov/ncore/DownloadPdf/8483964851346980810
14,Onsite leachate disposal,2016-09-16,Rule 2210(y) Authorization GW1010342,1536283218285486699,26,Identified by MiEnviro record ID,Direct,"Authorizes landfill-leachate discharge at application limits from October 1, 2016 through January 31, 2017.",3,High,,https://mienviro.michigan.gov/ncore/DownloadPdf/1536283218285486699
15,Testing / discharge sheet,2016-10,October daily DMR,Exact record ID omitted,Unknown,Referenced; source locator absent,Direct,"Reports 549,400 cumulative gallons discharged by October 31, 2016.",3,High,Obtain signed summary and every daily-entry sheet.,
16,Testing / discharge sheet,2016-11,November daily DMR,Exact record ID omitted,Unknown,Referenced; source locator absent,Direct,"Reports 1,439,500 cumulative gallons discharged by November 30, 2016.",3,High,Obtain signed summary and every daily-entry sheet.,
17,Testing / discharge sheet,2016-12,December daily DMR,Exact record ID omitted,Unknown,Referenced; source locator absent,Direct,"Reports 1,509,500 cumulative gallons and cessation on December 9; daily table and signed summary are inconsistent.",3,Highest,"Daily table reportedly shows only 10,000 gallons on Dec. 5 while signed summary shows a 70,000-gallon monthly increase and 30,000-gallon maximum day. Preserve both; do not silently reconcile.",
18,Onsite leachate disposal,2018-07-02,Termination Form,2992214570167366846,Not stated,Identified by MiEnviro record ID,Direct,Authorization expired and covered groundwater discharges were eliminated or terminated.,3,High,,https://mienviro.michigan.gov/ncore/DownloadPdf/2992214570167366846
19,Onsite leachate disposal,Date not stated,Lagoon summary entry - copy A,-3742461403192295520,Not stated,Identified exact duplicate pair,Corroborative,Lagoon summary record; exact duplicate of record 1093182208806986046.,4,Low,,https://mienviro.michigan.gov/ncore/DownloadPdf/-3742461403192295520
20,Onsite leachate disposal,Date not stated,Lagoon summary entry - copy B,1093182208806986046,Not stated,Identified exact duplicate pair,Corroborative,Same content as record -3742461403192295520.,4,Low,,https://mienviro.michigan.gov/ncore/DownloadPdf/1093182208806986046
21,Cadillac application / SIU,2017-04-03,Cadillac 2017 NPDES application,-4194105337445403259,22,Identified by MiEnviro record ID,Direct,"Reports 1.5 MGD total nondomestic wastewater, including 0.04 MGD landfill leachate; attachment list names WEXFORD LANDFILL.docx.",3,High,,https://mienviro.michigan.gov/ncore/DownloadPdf/-4194105337445403259
22,Cadillac application / SIU,2017-04-03,WEXFORD LANDFILL,2929107239418671816,Not stated,Identified attachment,Direct,"Wexford is an SIU; 33,000 gpd intermittent process wastewater to Cadillac collection system.",3,High,This is the attachment whose generic filename could be overlooked.,https://mienviro.michigan.gov/ncore/DownloadPdf/2929107239418671816
23,Cadillac oversight table,2018; reporting 2017,Annual-report SIU list,4593201925321274393,Not stated,Identified by MiEnviro record ID,Direct,Identifies Wexford County Landfill LLC with American Waste as legal name and Terry Whetstone as landfill manager.,3,High,,https://mienviro.michigan.gov/ncore/DownloadPdf/4593201925321274393
24,Cadillac oversight table,2019; reporting 2018,Annual-report SIU list,-6173827553342443142,Not stated,Identified by MiEnviro record ID,Direct,"Again identifies Wexford County Landfill LLC, American Waste legal name, and landfill manager.",3,High,,https://mienviro.michigan.gov/ncore/DownloadPdf/-6173827553342443142
25,Cadillac oversight table,2018; reporting 2017,SIU oversight table,-2139264245510326741,Split-page spreadsheet PDF,Identified by MiEnviro record ID,Direct,"Wexford row: 40,323 gpd maximum monthly average flow; 1 inspection; 52 POTW sampling events; no listed enforcement action.",3,Highest,Row alignment must be verified against fixed SIU order and SIU-list attachment.,https://mienviro.michigan.gov/ncore/DownloadPdf/-2139264245510326741
26,Cadillac oversight table,2019; reporting 2018,SIU oversight table,4259306752911727975,Split-page spreadsheet PDF,Identified by MiEnviro record ID,Direct,"Wexford row: 40,323 gpd; 1 inspection; 52 POTW samples; significant noncompliance for cadmium, silver, copper, lead, nickel, and pH; 12 notices of violation.",3,Highest,Row alignment must be verified against fixed SIU order and SIU-list attachment.,https://mienviro.michigan.gov/ncore/DownloadPdf/4259306752911727975
27,PFAS source investigation,2018-07-30 received,American Waste PFAS Survey,5907977853460013045,Not stated,Identified by MiEnviro record ID,Direct,American Waste ownership since fall 2011; industrial waste 18-30%; generator information incomplete for other haulers; leachate not yet analyzed for PFAS.,4,Highest,"Contains a general AFFF screening prompt, but does not attribute Wexford PFAS to AFFF.",https://mienviro.michigan.gov/ncore/DownloadPdf/5907977853460013045
28,PFAS laboratory testing,2018-10-03 sample; 2018-11-29 MiEnviro,J17646-1 leachate report,792182164173532957,23,Identified by MiEnviro record ID,Direct,Wexford leachate sample/duplicate: PFOS 120/140 ng/L and PFOA 590/700 ng/L.,4,Highest,"Retrieve complete laboratory packet, including chain of custody, qualifiers, blanks, spikes, duplicate pages, and case narrative.",https://mienviro.michigan.gov/ncore/DownloadPdf/792182164173532957
29,PFAS source investigation,2018-11-29,IPP PFAS Summary Report HNJ-P0ZX-8AVDS,3092683663291337793,Not stated,Identified by MiEnviro record ID,Direct,Identifies Wexford as Cadillac's PFAS source and records Cadillac's statement that the landfill declined to invest in cleanup.,4,Highest,,https://mienviro.michigan.gov/ncore/DownloadPdf/3092683663291337793
30,PFAS source investigation,2019-03-04,Cadillac PFAS letter,2197571042959551007,Not stated,Identified by MiEnviro record ID,Direct,"City accepted wastewater from one facility above 12 ng/L PFOS; Nov. 5, 2018 WWTP effluent PFOS was 6.5 ng/L; confirmed source directed to reduce PFOS.",4,Highest,,https://mienviro.michigan.gov/ncore/DownloadPdf/2197571042959551007
31,PFAS source investigation,2019-06-28,Status Report HNQ-VZP8-TWNRX,2793559677356639638,Not stated,Identified by MiEnviro record ID,Direct,Wexford confirmed source; moved to deep-well injection; would no longer bring leachate to Cadillac; June 4 effluent PFOS 7.1 and PFOA 15 ng/L.,4,Highest,Known-source/AFFF field reportedly marked N/A.,https://mienviro.michigan.gov/ncore/DownloadPdf/2793559677356639638
32,PFAS source investigation,2019-12-18,Status Report HNV-XK97-EV0GR,-30690039028977475,Not stated,Identified by MiEnviro record ID,Direct,Cadillac no longer accepted Wexford leachate; Wexford deep-well injected it; Oct. 22 effluent PFOS 2.4 and PFOA 3.4 ng/L.,4,Highest,"Source identified as trash, not AFFF.",https://mienviro.michigan.gov/ncore/DownloadPdf/-30690039028977475
33,County minutes,2014-12-17,Wexford County Board minutes,County minutes archive,Unknown,Read and summarized in history report,Corroborative,"Extended Pescador environmental-services contract through Dec. 31, 2019 at amended $16,000 annual amount.",3,Medium,,
34,County minutes,2015-01-21,Wexford County Board minutes,County minutes archive,Unknown,Read and summarized in history report,Corroborative,Pescador work included groundwater sampling in landfill-contaminated area; Exhibit C covered RAP and waste relocation with American Waste.,3,High,,
35,County minutes,2015-10-07,Wexford County Board minutes,County minutes archive,Unknown,Read and summarized in history report,Direct plan evidence,Cedar Creek Township discussed American Waste's proposed injection well to dispose of fluids generated.,3,High,,
36,County minutes,2016-04-06,Wexford County Board minutes,County minutes archive,Unknown,Read and summarized in history report,Corroborative,"Dan Staub identified as Pescador project manager; update on contamination/RAP, monitoring wells, and completed trash relocation.",3,High,,
37,County minutes,2017-08-16,Wexford County Board minutes,County minutes archive,Unknown,Read and summarized in history report,Direct plan evidence,"Approved American Waste proposal to close RAP pond/discharge area, capped at $137,400 from escrow.",3,High,,
38,County minutes,2017-11-01,Wexford County Board minutes,County minutes archive,Unknown,Read and summarized in history report,Direct plan evidence,Commissioners raised concern about what was in the leachate.,3,High,,
39,County minutes,2017-11-15,Wexford County Board minutes,County minutes archive,Unknown,Read and summarized in history report,Direct plan evidence,American Waste/Wexford Water Technologies Class I well presentation; leachate to move from existing tanks into injection wells; Resolution 17-31 opposing well.,3,Highest,,
40,County minutes,2018-02-07,Wexford County Board minutes,County minutes archive,Unknown,Read and summarized in history report,Corroborative,Continued opposition and public-hearing coordination.,3,Medium,,
41,County minutes,2018-02-21,Wexford County Board minutes,County minutes archive,Unknown,Read and summarized in history report,Corroborative,Continued opposition and public-hearing coordination.,3,Medium,,
42,County minutes,2018-03-07,Wexford County Board minutes,County minutes archive,Unknown,Read and summarized in history report,Corroborative,Discussion whether wells were already physically installed; does not establish operation.,3,High,,
43,County minutes,2019-03-20,Wexford County Board minutes,County minutes archive,Unknown,Read and summarized in history report,Corroborative,Requests for local protection regarding deep-injection well.,3,Medium,,
44,County minutes,2019-05-01,Wexford County Board minutes,County minutes archive,Unknown,Read and summarized in history report,Corroborative,Unanimous support for Cedar Creek Township zoning ordinance concerning deep-injection well.,3,Medium,,
45,County minutes,2019-05-15,Wexford County Board minutes,County minutes archive,Unknown,Read and summarized in history report,Corroborative,Approved Resolution 19-07 concerning Wexford County Landfill LLC RAP letter of credit.,3,Medium,,
46,County minutes,2019-07-03,Wexford County Board minutes,County minutes archive,Unknown,Read and summarized in history report,Context only,District Health Department No. 10 called PFAS a major issue; County discussed new EGLE PFAS requirements.,3,Low,,
47,County minutes,2019-11-06,Wexford County Board minutes,County minutes archive,Unknown,Read and summarized in history report,Testing lead,Pescador presented 2019 Landfill Groundwater Monitoring Report; minutes say PFAS nondetect in all wells except one result below then-applicable drinking-water standard.,3,Highest,Underlying report attachment was not exposed and was not recovered.,
48,County minutes,2014-2019,One additional directly relevant minute set,Exact date not identified in history report,Unknown,Existence reported; identifier absent,Lead,History report says 16 directly relevant minute sets but individually summarizes 15 dates.,4,High,Reconcile against the smaller county evidence packet or full 158-file archive.,
49,Groundwater testing,2019,Landfill Groundwater Monitoring Report,Mentioned in 2019-11-06 county minutes,Unknown,Missing / attachment not exposed,Direct testing lead,Underlying well-by-well PFAS and routine monitoring data are needed to test the minutes' summary.,"3, 5",Highest,"Request full report, appendices, lab reports, field sheets, chain of custody, qualifiers, maps, and correspondence.",
50,Entity / stormwater,2012,Notice of Intent (NOI),Exact MiEnviro ID omitted,Unknown,Reviewed and retained,Corroborative,"Documents name relationship among Wexford County Landfill LLC, American Waste, and prior county facility.",4,Medium,,
51,Entity / stormwater,2012 era,District-compliance file,Exact MiEnviro ID omitted,Unknown,Reviewed and retained,Corroborative,"Primarily stormwater, but retained for entity/name linkage.",4,Low,,
52,Excluded but screened,2012 era,Cadillac IU Form 1,Exact MiEnviro ID omitted,Unknown,Reviewed; excluded from direct set,Not Wexford,"Concerns ARVCO, not Wexford.",4,Low,,
53,Excluded but screened,2012 era,Cadillac IU Form 2,Exact MiEnviro ID omitted,Unknown,Reviewed; excluded from direct set,Not Wexford,"Concerns Michigan Rubber, not Wexford.",4,Low,,
54,Excluded but screened,2015,Cadillac IPP Profile,Exact MiEnviro ID omitted,Unknown,Reviewed; excluded from direct set,Program level,Program-level form; does not name Wexford.,4,Low,,
55,Excluded but screened,2012,Cadillac NPDES application,Exact MiEnviro ID omitted,Unknown,Reviewed; excluded from direct set,Program level,Does not name Wexford.,4,Low,,
56,Excluded but screened,2012,Cadillac mapping / flow attachments,Exact titles and MiEnviro IDs omitted,Unknown,Reviewed; excluded from direct set,Program level,"Do not name Wexford, but may provide system-layout and flow context.",4,Low,,
57,Notes,2015,Handwritten PCI interview notes,Exact MiEnviro ID omitted,Unknown,Reviewed; excluded from direct set,Context,Do not identify a Wexford leachate compliance issue.,4,Medium,Retain because handwritten notes can contain context not captured by formal titles.,
58,Excluded but screened,2013,Municipal permit template,Exact MiEnviro ID omitted,Unknown,Reviewed; excluded from direct set,Program level,"Generic permit material, not Wexford-specific.",4,Low,,
59,Excluded but screened,2013,Municipal fact sheet,Exact MiEnviro ID omitted,Unknown,Reviewed; excluded from direct set,Program level,"Generic fact sheet, not Wexford-specific.",4,Low,,
60,Excluded but screened,2019-10-16,Cadillac compliance letter,Exact MiEnviro ID omitted,Unknown,Reviewed; excluded from direct set,Not Wexford,"Concerns AAR, not Wexford.",4,Low,,
61,PFAS context,2019-12,Cadillac general PFAS letter,Exact MiEnviro ID omitted,Unknown,Reviewed; context only,Context,Says landfills are known potential PFAS sources but is not Wexford-specific.,4,Medium,,
62,New official follow-up,2017-10,EPA Wexford Water Technologies draft-permit fact sheet,Permit MI-165-1I-0002,2,Public EPA PDF located,Direct plan evidence,"Proposed Class I nonhazardous well for Wexford County Landfill liquid waste; identifies draft permit, geology, injection interval, pressure, area of review, and existence of full administrative record.",Follow-through search,Highest,Adds a precise administrative-record target.,https://www.epa.gov/sites/default/files/2017-10/documents/fact_sheet_mi-165-1i-0002.pdf
63,New official follow-up,2018-02,EPA public-hearing fact sheet,Permit MI-165-1I-0002,2,Public EPA PDF located,Direct plan evidence,"Public meeting/hearing set for March 21, 2018 in Cadillac; confirms reopened comment period and related draft-permit materials.",Follow-through search,High,Does not establish when injection began.,https://www.epa.gov/sites/production/files/2018-02/documents/uic-fs-r5-mi1651i0002-201802-2pp.pdf
64,New official follow-up,2024-06-04,EGLE N3862 on-site inspection and records review,N3862_SAR_20240604.pdf,4,Public EGLE PDF located,Later corroboration,Later inspection physically describes the deep-well leachate tank and injection system during the site tour.,Follow-through search,High,"Outside 2012-2019; corroborates later existence, not 2019 start date.",https://www.egle.state.mi.us/aps/downloads/SRN/N3862/N3862_SAR_20240604.pdf
65,Facility identity,Current page checked 2026-08-13,EGLE Wexford County Landfill facility page,WDS 470336; Site ID MIK363495375,Web page,Public official page located,Identity,Confirms legal/site-specific name and 990 US 131 North facility address.,5 and follow-through search,Medium,,https://www.michigan.gov/egle/about/organization/materials-management/solid-waste/solid-waste-disposal-areas/landfill/470336
66,Record register,Historical and current,WDS quarterly monitoring report register,WDS 470336,107 entries reported during prior review,Register known; automated interface blocked,Testing lead,"Potential source for quarterly reports, field/lab sheets, and 2019 monitoring attachment.",5,Highest,,https://www.deq.state.mi.us/wdspi/SolidWaste/QMRReports.asp
67,Record register,Historical and current,WDS Remedial Action Plan register,WDS 470336,Unknown,Register known,Testing / remediation lead,"Potential source for RAP plans, monitoring, waste relocation, correspondence, and closure documents.",5,Highest,,https://www.deq.state.mi.us/wdspi/SolidWaste/RemedialActionPlans.asp
68,Missing transport records,2012-2019,"Truck manifests, scale tickets, bills of lading",Not located,Unknown,Missing,Direct chain-of-custody gap,"Needed for shipment-by-shipment dates, volume, source, destination, and transporter.",5,Highest,"Request from Cadillac, Wexford County, American Waste successor records, and EGLE.",
69,Missing transport records,2012-2019,"Haul-company daily logs, driver logs, route records",Not located,Unknown,Missing,Direct chain-of-custody gap,Would identify actual hauler(s) and delivery dates.,5,Highest,,
70,Missing receiving records,2012-2019,Cadillac receiving-tank logs and individual delivery records,Not located,Unknown,Missing,Direct chain-of-custody gap,"Would match incoming loads to equalization tank, date, volume, and sampling.",5,Highest,,
71,Missing commercial records,2012-2019,"Invoices, payments, and disposal contracts",Not located,Unknown,Missing,Direct relationship gap,"Would identify contracting parties, rates, accepted waste terms, and possibly transporter.",5,High,,
72,Missing permit,2012-2019,Executed SIU permit 590-13 and amendments,Not located,Unknown,Missing,Direct regulatory gap,"Needed for discharge conditions, sampling, reporting, prohibited discharges, and enforcement obligations.",5,Highest,,
73,Missing generator data,2012-2019,Industrial-waste profiles and generator records,Not located,Unknown,Missing,Potential PFAS-source gap,Needed to identify individual PFAS-bearing waste generators and non-American-Waste haulers.,5,Highest,,
74,Missing injection record,2017 onward,Complete EPA administrative record for Wexford Water Technologies Well #1,Permit MI-165-1I-0002,Unknown,Partially located; full file absent,Direct pathway gap,"Should include application, draft/final permit, public comments, hearing transcript, responses, construction, testing, authorization to inject, monitoring, and operating records.",5 and follow-through search,Highest,,
75,Missing pre-period records,Before 2012,County ownership and hauling files,Not located,Unknown,Missing,Historical gap,"Needed to establish earlier ownership, hauling, and disposal practices.",5,Medium,,
