"Created","Name","Description","Category","SystemId","Program","FunctionalArea","SourceNumber","SourceType","Url","LocalPath","DownloadStatus","Error"
"2019-11-19","EM-RMP modifications - Scheduled Report now in Miwaters.msg","EGLE to WWTP","Misc. Submittal Docs","-9022831803921967807","WRD - NPDES","Application/Request","HNX-E8Q7-TQ4BF","Schedule - Biosolids Residuals Management Program (RMP) Submittal or Modification","https://mienviro.michigan.gov/ncore/downloadpdf/-9022831803921967807","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2019-11-19__-9022831803921967807__EM-RMP modifications - Scheduled Report now in Miwaters.msg.pdf","Already downloaded",""
"2026-08-05","260722.biosolids.PFASqc.Merit.PDF","nForm Document","Form Submission Attachments","-9001675935930886663","WRD - NPDES","Application/Request","HQQ-JWPA-R1S8B","Schedule - Biosolids PFAS Monitoring Report","https://mienviro.michigan.gov/ncore/downloadpdf/-9001675935930886663","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2026-08-05__-9001675935930886663__260722.biosolids.PFASqc.Merit.PDF.pdf","Already downloaded",""
"2026-06-26","854440 Cadillac Additional Limits June 2026.pdf","nForm Document","Form Submission Attachments","-8990104727855864312","WRD - NPDES","Application/Request","HQP-KKME-72W1M","Schedule - Updated MAHL Study (Benzidine, Beryllium, and Phenol)","https://mienviro.michigan.gov/ncore/downloadpdf/-8990104727855864312","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2026-06-26__-8990104727855864312__854440 Cadillac Additional Limits June 2026.pdf.pdf","Already downloaded",""
"2016-06-15","DMR Summary - MI0020257 _05_01_2016_to_05_31_2016_V1.docx","DMR Summary Data for period 05/01/2016 - 05/31/2016_V1","Schedule - DMR Documents","-9054802322981204104","WRD - NPDES","Permit","MI0020257 v5.0","NPDES Individual Permit","https://mienviro.michigan.gov/ncore/downloadpdf/-9054802322981204104","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2016-06-15__-9054802322981204104__DMR Summary - MI0020257 _05_01_2016_to_05_31_2016_V1.docx.pdf","Already downloaded",""
"2020-03-30","3-19 Sludge Data.pdf","came w/ em from WWTP","NPDES Submittal Docs","-8976390437726751257","WRD - NPDES","Application/Request","HNX-E8Q7-TQ4BF","Schedule - Biosolids Residuals Management Program (RMP) Submittal or Modification","https://mienviro.michigan.gov/ncore/downloadpdf/-8976390437726751257","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2020-03-30__-8976390437726751257__3-19 Sludge Data.pdf.pdf","Already downloaded",""
"2018-05-21","April 2018-RJ02 Soils Test.pdf","Actual doc; goes w/ field inspection conducted w/ audit","NPDES Biosolids Evaluation","-8954288284284844625","WRD - NPDES","Evaluation","E-DHWW-FYB-ZBN","Biosolids Audit (05/11/2018)","https://mienviro.michigan.gov/ncore/downloadpdf/-8954288284284844625","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2018-05-21__-8954288284284844625__April 2018-RJ02 Soils Test.pdf.pdf","Already downloaded",""
"2025-10-21","241003.biosolids.chem.PACE.pdf","nForm Document","Form Submission Attachments","-8955567820652492016","WRD - NPDES","Application/Request","HQG-GM42-A2DBC","Schedule - Biosolids Annual Report","https://mienviro.michigan.gov/ncore/downloadpdf/-8955567820652492016","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2025-10-21__-8955567820652492016__241003.biosolids.chem.PACE.pdf.pdf","Already downloaded",""
"2025-01-21","RE_ Cadillac MAHL revisions.msg","Comments on use of minimum removal in MAHL.","Industrial Pretreatment Program (IPP)","-8948881917471742688","WRD - NPDES","Application/Request","HPV-DHMB-MCAGV","Schedule - Submit MAHL and proposed local limits","https://mienviro.michigan.gov/ncore/downloadpdf/-8948881917471742688","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2025-01-21__-8948881917471742688__RE_ Cadillac MAHL revisions.msg.pdf","Already downloaded",""
"2026-03-09","Cadillac WWTP - MAHL 2026.msg","Comments on MAHL submitted for review January 2026.","Industrial Pretreatment Program (IPP)","-8890797696595488087","WRD - NPDES","Application/Request","HQ8-XRFB-J9GAX","Schedule - Local Limits Evaluation (IPP)","https://mienviro.michigan.gov/ncore/downloadpdf/-8890797696595488087","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2026-03-09__-8890797696595488087__Cadillac WWTP - MAHL 2026.msg.pdf","Already downloaded",""
"2024-02-28","HQ1-1PD1-TAM4K v1.pdf","Submission PDF","Form Submission Attachments","-8946453493866835799","WRD - NPDES","Application/Request","HQ1-1PD1-TAM4K","Schedule - PFAS POTW Effluent Monitoring Report","https://mienviro.michigan.gov/ncore/downloadpdf/-8946453493866835799","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2024-02-28__-8946453493866835799__HQ1-1PD1-TAM4K v1.pdf.pdf","Already downloaded",""
"2016-09-16","DMR Summary - MI0020257 _08_01_2016_to_08_31_2016_V1.docx","DMR Summary Data for period 08/01/2016 - 08/31/2016_V1","Schedule - DMR Documents","-8864258566189946951","WRD - NPDES","Permit","MI0020257 v5.0","NPDES Individual Permit","https://mienviro.michigan.gov/ncore/downloadpdf/-8864258566189946951","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2016-09-16__-8864258566189946951__DMR Summary - MI0020257 _08_01_2016_to_08_31_2016_V1.docx.pdf","Already downloaded",""
"2012-01-18","Cadillac WWTP Must Apply Letter.pdf","","Conversion - SITE","-8849600511584876014","n/a","Site","15637","Site","https://mienviro.michigan.gov/ncore/downloadpdf/-8849600511584876014","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2012-01-18__-8849600511584876014__Cadillac WWTP Must Apply Letter.pdf.pdf","Already downloaded",""
"2016-01-12","2010-2016_Cadillac WWTP_District Compliance File.pdf","District Scanned","NPDES Misc. Site Docs","-8836688320995793733","n/a","Site","15637","Site","https://mienviro.michigan.gov/ncore/downloadpdf/-8836688320995793733","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2016-01-12__-8836688320995793733__2010-2016_Cadillac WWTP_District Compliance File.pdf.pdf","Already downloaded",""
"2013-04-18","WQBEL Memo - Toxics.doc","WQBEL Memo - Toxics","Conversion - Permit","-8853155827505618463","WRD - NPDES","Permit","MI0020257 v5.0","NPDES Individual Permit","https://mienviro.michigan.gov/ncore/downloadpdf/-8853155827505618463","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2013-04-18__-8853155827505618463__WQBEL Memo - Toxics.doc.pdf","Already downloaded",""
"2017-12-15","DMR Summary - MI0020257 _11_01_2017_to_11_30_2017_V1.docx","DMR Summary Data for period 11/01/2017 - 11/30/2017_V1","Schedule - DMR Documents","-8814440160125396713","WRD - NPDES","Permit","MI0020257 v5.1","NPDES Individual Permit","https://mienviro.michigan.gov/ncore/downloadpdf/-8814440160125396713","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2017-12-15__-8814440160125396713__DMR Summary - MI0020257 _11_01_2017_to_11_30_2017_V1.docx.pdf","Already downloaded",""
"2019-08-19","DMR Summary - MI0020257 _07_01_2019_to_07_31_2019_V1.docx","DMR Summary Data for period 07/01/2019 - 07/31/2019_V1","Schedule - DMR Documents","-8739884906953414189","WRD - NPDES","Permit","MI0020257 v5.1","NPDES Individual Permit","https://mienviro.michigan.gov/ncore/downloadpdf/-8739884906953414189","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2019-08-19__-8739884906953414189__DMR Summary - MI0020257 _07_01_2019_to_07_31_2019_V1.docx.pdf","Already downloaded",""
"2025-09-30","IPP Local Limits Review.docx","","NPDES Application Docs","-8736889914825252154","WRD - NPDES","Application/Request","HQF-TQCJ-GZWEB","Application - IPP Local Limits WQBEL Request Form","https://mienviro.michigan.gov/ncore/downloadpdf/-8736889914825252154","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2025-09-30__-8736889914825252154__IPP Local Limits Review.docx.pdf","Already downloaded",""
"2017-04-03","Paragon Wet Test (3).pdf v1","Paragon Wet Test (3).pdf","Applicant Attachments","-8713293357649151288","WRD - NPDES","Application/Request","2Q7-HQ21-P66B","Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance)","https://mienviro.michigan.gov/ncore/downloadpdf/-8713293357649151288","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2017-04-03__-8713293357649151288__Paragon Wet Test (3).pdf v1.pdf","Already downloaded",""
"2021-10-28","Vector Attraction Reduction.pdf","FY21 Applier Certification-VAR; Midwest Injection Inc.;","Form Submission Attachments","-8709036736254824662","WRD - NPDES","Application/Request","HPC-K20Z-68T3J","Schedule - Biosolids Annual Report","https://mienviro.michigan.gov/ncore/downloadpdf/-8709036736254824662","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2021-10-28__-8709036736254824662__Vector Attraction Reduction.pdf.pdf","Already downloaded",""
"2020-04-14","DMR Daily - MI0020257 _03_01_2020_to_03_31_2020_V1.docx","DMR Daily Data for period 03/01/2020 - 03/31/2020_V1","Schedule - DMR Documents","-8688763702920279353","WRD - NPDES","Permit","MI0020257 v6.0","NPDES Individual Permit","https://mienviro.michigan.gov/ncore/downloadpdf/-8688763702920279353","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2020-04-14__-8688763702920279353__DMR Daily - MI0020257 _03_01_2020_to_03_31_2020_V1.docx.pdf","Already downloaded",""
"2018-05-16","DMR Daily - MI0020257 _04_01_2018_to_04_30_2018_V1.docx","DMR Daily Data for period 04/01/2018 - 04/30/2018_V1","Schedule - DMR Documents","-8678962175045195900","WRD - NPDES","Permit","MI0020257 v5.1","NPDES Individual Permit","https://mienviro.michigan.gov/ncore/downloadpdf/-8678962175045195900","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2018-05-16__-8678962175045195900__DMR Daily - MI0020257 _04_01_2018_to_04_30_2018_V1.docx.pdf","Already downloaded",""
"2023-02-01","Biosolids CPLR 21N08W30-AB01.xls","","NPDES Submittal Docs","-8646920525963922439","WRD - NPDES","Application/Request","HPN-5DCS-H4WTR","Schedule - Biosolids Annual Report","https://mienviro.michigan.gov/ncore/downloadpdf/-8646920525963922439","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2023-02-01__-8646920525963922439__Biosolids CPLR 21N08W30-AB01.xls.pdf","Already downloaded",""
"2025-04-30","Cadillac WWTP 2025 Below 20 Letter Interim Strategy.pdf","","Misc. Submittal Docs","-8643712850746890280","WRD - NPDES","Application/Request","HQB-6T2F-9M76H","Schedule - Biosolids PFAS Monitoring Report","https://mienviro.michigan.gov/ncore/downloadpdf/-8643712850746890280","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2025-04-30__-8643712850746890280__Cadillac WWTP 2025 Below 20 Letter Interim Strategy.pdf.pdf","Already downloaded",""
"2024-10-30","240401.biosolids.pathogens.HML.pdf","nForm Document","Form Submission Attachments","-8627948806872428177","WRD - NPDES","Application/Request","HQ7-KAAW-2S9Y5","Schedule - Biosolids Annual Report","https://mienviro.michigan.gov/ncore/downloadpdf/-8627948806872428177","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2024-10-30__-8627948806872428177__240401.biosolids.pathogens.HML.pdf.pdf","Already downloaded",""
"2018-06-13","FW_ City of Cadillac Letter.msg","","Industrial Pretreatment Program (IPP)","-8619958092011217786","n/a","Site","15637","Site","https://mienviro.michigan.gov/ncore/downloadpdf/-8619958092011217786","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2018-06-13__-8619958092011217786__FW_ City of Cadillac Letter.msg.pdf","Already downloaded",""
"2022-10-28","Soil Test Reports - Spring 2022.pdf","nForm Document","Form Submission Attachments","-8614765146536661066","WRD - NPDES","Application/Request","HPN-5DCS-H4WTR","Schedule - Biosolids Annual Report","https://mienviro.michigan.gov/ncore/downloadpdf/-8614765146536661066","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2022-10-28__-8614765146536661066__Soil Test Reports - Spring 2022.pdf.pdf","Already downloaded",""
"2020-03-24","HNY-0A3C-HVRY7 V1.pdf v1","Submission PDF","Misc. Application and Request Docs","-8585248556278470835","WRD - NPDES","Application/Request","HNY-0A3C-HVRY7","Schedule - Michigan Industrial Pretreatment Program (IPP) Annual Report","https://mienviro.michigan.gov/ncore/downloadpdf/-8585248556278470835","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2020-03-24__-8585248556278470835__HNY-0A3C-HVRY7 V1.pdf v1.pdf","Already downloaded",""
"2023-10-30","Lab&Hauling Data Spring 2023.pdf","nForm Document","Form Submission Attachments","-8569167833142375104","WRD - NPDES","Application/Request","HPY-PZSD-5P4KK","Schedule - Biosolids Annual Report","https://mienviro.michigan.gov/ncore/downloadpdf/-8569167833142375104","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2023-10-30__-8569167833142375104__Lab&Hauling Data Spring 2023.pdf.pdf","Already downloaded",""
"2017-07-18","DMR Summary - MI0020257 _06_01_2017_to_06_30_2017_V1.docx","DMR Summary Data for period 06/01/2017 - 06/30/2017_V1","Schedule - DMR Documents","-8542276497179018047","WRD - NPDES","Permit","MI0020257 v5.1","NPDES Individual Permit","https://mienviro.michigan.gov/ncore/downloadpdf/-8542276497179018047","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2017-07-18__-8542276497179018047__DMR Summary - MI0020257 _06_01_2017_to_06_30_2017_V1.docx.pdf","Already downloaded",""
"2019-08-30","Issuance Letter_Cadillac WWTP.msg","","NPDES Individual Permit","-8533260144873024140","WRD - NPDES","Permit","MI0020257 v6.0","NPDES Individual Permit","https://mienviro.michigan.gov/ncore/downloadpdf/-8533260144873024140","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2019-08-30__-8533260144873024140__Issuance Letter_Cadillac WWTP.msg.pdf","Already downloaded",""
"2019-02-28","FW_ Biosolids PFAS - Cadillac.msg","IPP PFAS biosolids sample for IPP PFAS initiative - Dry weight calculations on homogenized (unseparated) sample","Industrial Pretreatment Program (IPP)","-8513053641259165067","n/a","Site","15637","Site","https://mienviro.michigan.gov/ncore/downloadpdf/-8513053641259165067","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2019-02-28__-8513053641259165067__FW_ Biosolids PFAS - Cadillac.msg.pdf","Already downloaded",""
"2017-04-03","Borg Warner.docx v1","Borg Warner.docx","Applicant Attachments","-8499150955445776749","WRD - NPDES","Application/Request","2Q7-HQ21-P66B","Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance)","https://mienviro.michigan.gov/ncore/downloadpdf/-8499150955445776749","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2017-04-03__-8499150955445776749__Borg Warner.docx v1.pdf","Already downloaded",""
"2013-11-13","Cadillac WWTP Email Exchange 9-3-13.pdf","","Conversion - Compliance Action","-8365213610442199787","WRD - NPDES","Permit","MI0020257 v5.0","NPDES Individual Permit","https://mienviro.michigan.gov/ncore/downloadpdf/-8365213610442199787","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2013-11-13__-8365213610442199787__Cadillac WWTP Email Exchange 9-3-13.pdf.pdf","Downloaded",""
"2025-09-16","Biosolids Audit Transmittal - Cadillac WWTP.pdf","Signed Biosolids Audit Transittal","NPDES Biosolids Evaluation","-8482039543770819803","WRD - NPDES","Evaluation","E-PP027995818650","Biosolids Audit (04/29/2025)","https://mienviro.michigan.gov/ncore/downloadpdf/-8482039543770819803","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2025-09-16__-8482039543770819803__Biosolids Audit Transmittal - Cadillac WWTP.pdf.pdf","Downloaded",""
"2025-03-27","Cadillac POTW Oversight 2024.xlsx","nForm Document","Form Submission Attachments","-8415402284149542607","WRD - NPDES","Application/Request","HQB-BNKM-1SC3Q","Schedule - Michigan Industrial Pretreatment Program (IPP) Annual Report","https://mienviro.michigan.gov/ncore/downloadpdf/-8415402284149542607","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2025-03-27__-8415402284149542607__Cadillac POTW Oversight 2024.xlsx.pdf","Downloaded",""
"2023-12-06","IP Issuance Letter_Cadillac WWTP.msg","","Misc. NPDES Permit Docs","-8417291737125858667","WRD - NPDES","Permit","MI0020257 v7.0","NPDES Individual Permit","https://mienviro.michigan.gov/ncore/downloadpdf/-8417291737125858667","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2023-12-06__-8417291737125858667__IP Issuance Letter_Cadillac WWTP.msg.pdf","Downloaded",""
"2022-09-21","Application_HPG-1ZSF-KC99G V2.pdf v2","Submission PDF","Misc. Application and Request Docs","-8412550484232206194","WRD - NPDES","Application/Request","HPG-1ZSF-KC99G","Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance)","https://mienviro.michigan.gov/ncore/downloadpdf/-8412550484232206194","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2022-09-21__-8412550484232206194__Application_HPG-1ZSF-KC99G V2.pdf v2.pdf","Downloaded",""
"2024-10-30","MI0020257_2023-10-01_to_2024-09-30_DMR.pdf","","Schedule - DMR Documents","-8437946533852073880","WRD - NPDES","Permit","MI0020257 v7.0","Schedule - DMR","https://mienviro.michigan.gov/ncore/downloadpdf/-8437946533852073880","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2024-10-30__-8437946533852073880__MI0020257_2023-10-01_to_2024-09-30_DMR.pdf.pdf","Downloaded",""
"2024-03-19","MI0020257_2024-02-01_to_2024-02-29_DMR.pdf","","Schedule - DMR Documents","-8451675010957020339","WRD - NPDES","Permit","MI0020257 v7.0","Schedule - DMR","https://mienviro.michigan.gov/ncore/downloadpdf/-8451675010957020339","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2024-03-19__-8451675010957020339__MI0020257_2024-02-01_to_2024-02-29_DMR.pdf.pdf","Downloaded",""
"2015-07-08","Fact Sheet.doc","Fact Sheet","Conversion - Permit","-8459938767715139506","WRD - NPDES","Permit","MI0020257 v5.1","NPDES Individual Permit","https://mienviro.michigan.gov/ncore/downloadpdf/-8459938767715139506","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2015-07-08__-8459938767715139506__Fact Sheet.doc.pdf","Downloaded",""
"2023-03-02","22.07.Inf.Eff.LLHg.Pace.pdf","nForm Document","Form Submission Attachments","-8432930753741426596","WRD - NPDES","Application/Request","HPR-V2MX-EVFMF","Schedule - Pollutant Minimization Program (PMP) Annual Report","https://mienviro.michigan.gov/ncore/downloadpdf/-8432930753741426596","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2023-03-02__-8432930753741426596__22.07.Inf.Eff.LLHg.Pace.pdf.pdf","Downloaded",""
"2023-05-31","23.04.Eff.PFAS.PACEalpha.pdf","nForm Document","Form Submission Attachments","-8387245820521192173","WRD - NPDES","Application/Request","HPV-1RCJ-X06GE","Schedule - PFAS POTW Effluent Monitoring Report","https://mienviro.michigan.gov/ncore/downloadpdf/-8387245820521192173","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2023-05-31__-8387245820521192173__23.04.Eff.PFAS.PACEalpha.pdf.pdf","Downloaded",""
"2024-10-30","240401.biosolids.chem.PACE.pdf","nForm Document","Form Submission Attachments","-8364081325262992024","WRD - NPDES","Application/Request","HQ7-KAAW-2S9Y5","Schedule - Biosolids Annual Report","https://mienviro.michigan.gov/ncore/downloadpdf/-8364081325262992024","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2024-10-30__-8364081325262992024__240401.biosolids.chem.PACE.pdf.pdf","Downloaded",""
"2025-10-21","21n09w25-DG01.pdf","nForm Document","Form Submission Attachments","-8440672871505165049","WRD - NPDES","Application/Request","HQG-GM42-A2DBC","Schedule - Biosolids Annual Report","https://mienviro.michigan.gov/ncore/downloadpdf/-8440672871505165049","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2025-10-21__-8440672871505165049__21n09w25-DG01.pdf.pdf","Downloaded",""
"2013-08-16","Cadillac WWTP PPN Email Exchange 2.pdf","","Conversion - Compliance Action","-8309188111481449431","WRD - NPDES","Permit","MI0020257 v5.0","NPDES Individual Permit","https://mienviro.michigan.gov/ncore/downloadpdf/-8309188111481449431","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2013-08-16__-8309188111481449431__Cadillac WWTP PPN Email Exchange 2.pdf.pdf","Downloaded",""
"2021-03-16","MI0020257_2021-02-01_to_2021-02-28_1_DMR.pdf","","Schedule - DMR Documents","-8362253429290520676","WRD - NPDES","Permit","MI0020257 v6.0","Schedule - DMR","https://mienviro.michigan.gov/ncore/downloadpdf/-8362253429290520676","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2021-03-16__-8362253429290520676__MI0020257_2021-02-01_to_2021-02-28_1_DMR.pdf.pdf","Downloaded",""
"2020-06-12","DMR Summary - MI0020257 _05_01_2020_to_05_31_2020_V1.docx","DMR Summary Data for period 05/01/2020 - 05/31/2020_V1","Schedule - DMR Documents","-8346867488967724727","WRD - NPDES","Permit","MI0020257 v6.0","NPDES Individual Permit","https://mienviro.michigan.gov/ncore/downloadpdf/-8346867488967724727","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2020-06-12__-8346867488967724727__DMR Summary - MI0020257 _05_01_2020_to_05_31_2020_V1.docx.pdf","Downloaded",""
"2024-10-01","HQ7-24YS-A06A1 v1.pdf","Submission PDF","Form Submission Attachments","-8271012263607576939","WRD - NPDES","Application/Request","HQ7-24YS-A06A1","Schedule - PFAS POTW Effluent Monitoring Report","https://mienviro.michigan.gov/ncore/downloadpdf/-8271012263607576939","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2024-10-01__-8271012263607576939__HQ7-24YS-A06A1 v1.pdf.pdf","Downloaded",""
